,date,confirmed,healed,dead,confirmed_cumulative,healed_cumulative,dead_cumulative,active
1,13/03/2020,2,0,0,2,0,0,2
2,14/03/2020,3,0,0,5,0,0,5
3,15/03/2020,3,0,0,8,0,0,8
4,16/03/2020,7,0,0,15,0,0,15
5,17/03/2020,4,0,0,19,0,0,19
6,18/03/2020,1,0,0,20,0,0,20
7,19/03/2020,1,0,0,21,0,0,21
8,20/03/2020,3,0,0,24,0,0,24
9,21/03/2020,7,0,0,31,0,0,31
10,22/03/2020,2,0,1,33,0,1,32
11,23/03/2020,28,0,0,61,0,1,60
12,24/03/2020,2,0,0,63,0,1,62
13,25/03/2020,8,0,0,71,0,1,70
14,26/03/2020,15,1,0,86,1,1,84
15,27/03/2020,2,0,0,88,1,1,86
16,28/03/2020,3,0,0,91,1,1,89
17,29/03/2020,4,0,0,95,1,1,93
18,30/03/2020,12,0,0,107,1,1,105
19,31/03/2020,6,5,0,113,6,1,106
20,01/04/2020,13,4,0,126,10,1,115
21,02/04/2020,1,0,0,127,10,1,116
22,03/04/2020,6,6,0,133,16,1,116
23,04/04/2020,8,7,0,141,23,1,117
24,05/04/2020,5,0,0,146,23,1,122
25,06/04/2020,20,1,2,166,24,3,139
26,07/04/2020,19,6,2,185,30,5,150
27,08/04/2020,39,7,1,224,37,6,181
28,09/04/2020,3,1,1,227,38,7,182
29,10/04/2020,23,14,0,250,52,7,191
30,11/04/2020,33,6,0,283,58,7,218
31,12/04/2020,79,1,0,362,59,7,296
32,13/04/2020,15,4,1,377,63,8,306
33,14/04/2020,10,3,0,387,66,8,313
34,15/04/2020,36,5,1,423,71,9,343
35,16/04/2020,26,8,2,449,79,11,359
36,17/04/2020,31,5,1,480,84,12,384
37,18/04/2020,30,9,0,510,93,12,405
38,19/04/2020,51,9,0,561,102,12,447
39,20/04/2020,37,21,3,598,123,15,460
40,21/04/2020,6,5,3,604,128,18,458
41,22/04/2020,26,10,0,630,138,18,474
42,23/04/2020,39,21,1,669,159,19,491
43,24/04/2020,34,4,0,703,163,19,521
44,25/04/2020,28,3,1,731,166,20,545
45,26/04/2020,33,4,2,764,170,22,572
46,27/04/2020,22,39,3,786,209,25,552
47,28/04/2020,12,35,0,798,244,25,529
48,29/04/2020,10,21,0,808,265,25,518
49,30/04/2020,12,26,0,820,291,25,504
50,01/05/2020,9,31,0,829,322,25,482
51,02/05/2020,11,42,0,840,364,25,451
52,03/05/2020,11,18,1,851,382,26,443
53,04/05/2020,4,22,0,855,404,26,425
54,05/05/2020,1,87,0,856,491,26,339
55,06/05/2020,4,43,0,860,534,26,300
56,07/05/2020,1,28,1,861,562,27,272
57,08/05/2020,1,62,1,862,624,28,210
58,09/05/2020,8,31,0,870,655,28,187
59,10/05/2020,14,2,0,884,657,28,199
60,11/05/2020,11,2,0,895,659,28,208
61,12/05/2020,24,14,1,919,673,29,217
62,13/05/2020,8,0,0,927,673,29,225
63,14/05/2020,18,19,0,945,692,29,224
64,15/05/2020,10,1,0,955,693,29,233
65,16/05/2020,23,22,0,978,715,29,234
66,17/05/2020,7,23,0,985,738,29,218
67,18/05/2020,3,18,0,988,756,29,203
68,19/05/2020,1,18,0,989,774,29,186
69,20/05/2020,14,0,0,1003,774,29,200
70,21/05/2020,1,0,0,1004,774,29,201
71,22/05/2020,21,10,0,1025,784,29,212
72,23/05/2020,7,3,0,1032,787,29,216
73,24/05/2020,0,4,0,1032,791,29,212
74,25/05/2020,6,2,1,1038,793,30,215
75,26/05/2020,9,3,0,1047,796,30,221
76,27/05/2020,1,7,0,1048,803,30,215
77,28/05/2020,4,19,0,1052,822,30,200
78,29/05/2020,12,9,0,1064,831,30,203
79,30/05/2020,6,12,0,1070,843,30,197
80,31/05/2020,13,2,0,1083,845,30,208
81,01/06/2020,27,0,0,1110,845,30,235
82,02/06/2020,11,4,0,1121,849,30,242
83,03/06/2020,21,24,0,1142,873,30,239
84,04/06/2020,4,3,0,1146,876,30,240
85,05/06/2020,12,2,0,1158,878,30,250
86,06/06/2020,36,8,1,1194,886,31,277
87,07/06/2020,40,6,0,1234,892,31,311
88,08/06/2020,29,22,0,1263,914,31,318
89,09/06/2020,6,0,0,1269,914,31,324
90,10/06/2020,29,1,0,1298,915,31,352
91,11/06/2020,28,8,0,1326,923,31,372
92,12/06/2020,58,0,0,1384,923,31,430
93,13/06/2020,53,7,1,1437,930,32,475
94,14/06/2020,49,24,1,1486,954,33,499
95,15/06/2020,129,10,0,1615,964,33,618
96,16/06/2020,141,5,1,1756,969,34,753
97,17/06/2020,77,0,0,1833,969,34,830
98,18/06/2020,83,5,0,1916,974,34,908
99,19/06/2020,82,7,0,1998,981,34,983
100,20/06/2020,75,38,1,2073,1019,35,1019
101,21/06/2020,96,30,1,2169,1049,36,1084
102,22/06/2020,47,22,3,2216,1071,39,1106
103,23/06/2020,52,41,0,2268,1112,39,1117
104,24/06/2020,95,64,1,2363,1176,40,1147
105,25/06/2020,69,71,2,2432,1247,42,1143
106,26/06/2020,62,61,3,2494,1308,45,1141
107,27/06/2020,96,86,3,2590,1394,48,1148
108,28/06/2020,87,31,1,2677,1425,49,1203
109,29/06/2020,122,81,1,2799,1506,50,1243
110,30/06/2020,79,71,1,2878,1577,51,1250
111,01/07/2020,113,67,3,2991,1644,54,1293
112,02/07/2020,73,63,1,3064,1707,55,1302
113,03/07/2020,114,117,3,3178,1824,58,1296
114,04/07/2020,178,50,8,3356,1874,66,1416
115,05/07/2020,152,28,9,3508,1902,75,1531
116,06/07/2020,195,44,4,3703,1946,79,1678
117,07/07/2020,183,57,3,3886,2003,82,1801
118,08/07/2020,214,60,4,4100,2063,86,1951
119,09/07/2020,207,32,8,4307,2095,94,2118
120,10/07/2020,205,61,3,4512,2156,97,2259
121,11/07/2020,203,71,4,4715,2227,101,2387
122,12/07/2020,216,40,1,4931,2267,102,2562
123,13/07/2020,187,103,6,5118,2370,108,2640
124,14/07/2020,119,92,4,5237,2462,112,2663
125,15/07/2020,132,83,6,5369,2545,118,2706
126,16/07/2020,103,95,6,5472,2640,124,2708
127,17/07/2020,145,171,6,5617,2811,130,2676
128,18/07/2020,118,157,6,5735,2968,136,2631
129,19/07/2020,142,101,3,5877,3069,139,2669
130,20/07/2020,168,157,5,6045,3226,144,2675
131,21/07/2020,241,143,6,6286,3369,150,2767
132,22/07/2020,181,136,8,6467,3505,158,2804
133,23/07/2020,213,109,6,6680,3614,164,2902
134,24/07/2020,237,139,5,6917,3753,169,2995
135,25/07/2020,220,121,8,7137,3874,177,3086
136,26/07/2020,276,153,8,7413,4027,185,3201
137,27/07/2020,239,102,7,7652,4129,192,3331
138,28/07/2020,194,138,4,7846,4267,196,3383
139,29/07/2020,258,196,16,8104,4463,212,3429
140,30/07/2020,226,115,15,8330,4578,227,3525
141,31/07/2020,224,152,9,8554,4730,236,3588
142,01/08/2020,245,133,13,8799,4863,249,3687
143,02/08/2020,250,126,7,9049,4989,256,3804
144,03/08/2020,225,201,13,9274,5190,269,3815
145,04/08/2020,218,156,15,9492,5346,284,3862
146,05/08/2020,196,134,16,9688,5480,300,3908
147,06/08/2020,181,125,3,9869,5605,303,3961
148,07/08/2020,190,197,12,10059,5802,315,3942
149,08/08/2020,188,142,12,10247,5944,327,3976
150,09/08/2020,172,114,14,10419,6058,341,4020
151,10/08/2020,171,190,13,10590,6248,354,3988
152,11/08/2020,205,163,11,10795,6411,365,4019
153,12/08/2020,193,205,8,10988,6616,373,3999
154,13/08/2020,142,201,8,11130,6817,381,3932
155,14/08/2020,145,144,9,11275,6961,390,3924
156,15/08/2020,141,230,11,11416,7191,401,3824
157,16/08/2020,129,152,9,11545,7343,410,3792
158,17/08/2020,140,219,6,11685,7562,416,3707
159,18/08/2020,162,122,9,11847,7684,425,3738
160,19/08/2020,158,245,13,12005,7929,438,3638
161,20/08/2020,162,220,10,12167,8149,448,3570
162,21/08/2020,169,197,9,12336,8346,457,3533
163,22/08/2020,111,159,10,12447,8505,467,3475
164,23/08/2020,99,152,13,12546,8657,480,3409
165,24/08/2020,136,131,8,12682,8788,488,3406
166,25/08/2020,157,154,4,12839,8942,492,3405
167,26/08/2020,141,143,6,12980,9085,498,3397
168,27/08/2020,119,154,1,13099,9239,499,3361
169,28/08/2020,116,116,9,13215,9355,508,3352
170,29/08/2020,119,118,8,13334,9473,516,3345
171,30/08/2020,120,122,9,13454,9595,525,3334
172,31/08/2020,147,197,8,13601,9792,533,3276
173,01/09/2020,112,131,6,13713,9923,539,3251
174,02/09/2020,78,190,9,13791,10113,548,3130
175,03/09/2020,119,187,3,13910,10300,551,3059
176,04/09/2020,117,131,5,14027,10431,556,3040
177,05/09/2020,92,115,7,14119,10546,563,3010
178,06/09/2020,85,97,5,14204,10643,568,2993
179,07/09/2020,97,139,0,14301,10782,568,2951
180,08/09/2020,76,144,6,14377,10926,574,2877
181,09/09/2020,69,107,7,14446,11033,581,2832
182,10/09/2020,50,117,5,14496,11150,586,2760
183,11/09/2020,70,122,3,14566,11272,589,2705
184,12/09/2020,71,163,7,14637,11435,596,2606
185,13/09/2020,55,150,4,14692,11585,600,2507
186,14/09/2020,71,199,1,14763,11784,601,2378
187,15/09/2020,76,165,3,14839,11949,604,2286
188,16/09/2020,43,239,3,14882,12188,607,2087
189,17/09/2020,57,137,4,14939,12325,611,2003
190,18/09/2020,63,126,0,15002,12451,611,1940
191,19/09/2020,61,119,2,15063,12570,613,1880
192,20/09/2020,79,104,2,15142,12674,615,1853
193,21/09/2020,66,141,0,15208,12815,615,1778
194,22/09/2020,62,85,1,15270,12900,616,1754
195,23/09/2020,63,87,0,15333,12987,616,1730
196,24/09/2020,46,101,1,15379,13088,617,1674
197,25/09/2020,46,77,2,15425,13165,619,1641
198,26/09/2020,47,113,3,15472,13278,622,1572
199,27/09/2020,48,142,3,15520,13420,625,1475
200,28/09/2020,54,72,0,15574,13492,625,1457
201,29/09/2020,46,62,0,15620,13554,625,1441
202,30/09/2020,43,123,2,15663,13677,627,1359
203,01/10/2020,42,54,0,15705,13731,627,1347
204,02/10/2020,53,56,3,15758,13787,630,1341
205,03/10/2020,56,69,0,15814,13856,630,1328
206,04/10/2020,41,73,2,15855,13929,632,1294
207,05/10/2020,34,122,3,15889,14051,635,1203
208,06/10/2020,49,92,3,15938,14143,638,1157
209,07/10/2020,33,46,0,15971,14189,638,1144
210,08/10/2020,79,61,3,16050,14250,641,1159
211,09/10/2020,80,32,4,16130,14282,645,1203
212,10/10/2020,49,53,2,16179,14335,647,1197
213,11/10/2020,68,33,1,16247,14368,648,1231
214,12/10/2020,98,37,1,16345,14405,649,1291
215,13/10/2020,80,55,1,16425,14460,650,1315
216,14/10/2020,77,59,0,16502,14519,650,1333
217,15/10/2020,104,42,2,16606,14561,652,1393
218,16/10/2020,148,56,0,16754,14617,652,1485
219,17/10/2020,137,49,1,16891,14666,653,1572
220,18/10/2020,118,50,3,17009,14716,656,1637
221,19/10/2020,130,71,1,17139,14787,657,1695
222,20/10/2020,124,49,0,17263,14836,657,1770
223,21/10/2020,159,58,0,17422,14894,657,1871
224,22/10/2020,169,85,2,17591,14979,659,1953
225,23/10/2020,166,55,2,17757,15034,661,2062
226,24/10/2020,186,54,2,17943,15088,663,2192
