"","date","id","municipality","cadastral_zone","confirmed"
"1",2020-03-13,"8","Klinë","Dranashiq",1
"2",2020-03-13,"26","Viti","Stubëll e Poshtme",1
"3",2020-03-14,"30","Malishevë","Bubavec",1
"4",2020-03-14,"26","Viti","Stubëll e Poshtme",2
"5",2020-03-15,"30","Malishevë","Bubavec",1
"6",2020-03-15,"30","Malishevë","Llashkadrenoc",1
"7",2020-03-15,"30","Malishevë","Panorc",1
"8",2020-03-16,"15","Obiliq","Obiliq",1
"9",2020-03-16,"18","Podujevë","Dumnicë e Poshtme",1
"10",2020-03-16,"20","Prizren","Korishtë",1
"11",2020-03-16,"26","Viti","Stubëll e Poshtme",4
"12",2020-03-17,"2","Gjakovë","Gjakovë",2
"13",2020-03-17,"18","Podujevë","Dumnicë e Poshtme",1
"14",2020-03-17,"19","Prishtinë","Prishtinë",1
"15",2020-03-18,"18","Podujevë","Bradash",1
"16",2020-03-19,"13","Lipjan","Janjevë",1
"17",2020-03-20,"2","Gjakovë","Gjakovë",1
"18",2020-03-20,"30","Malishevë","Llashkadrenoc",1
"19",2020-03-20,"24","Suharekë","Suharekë",1
"20",2020-03-21,"25","Ferizaj","Bibaj",1
"21",2020-03-21,"2","Gjakovë","Gjakovë",1
"22",2020-03-21,"4","Gjilan","Vrapçiq",1
"23",2020-03-21,"4","Gjilan","Zhegër",1
"24",2020-03-21,"30","Malishevë","Senik",1
"25",2020-03-21,"19","Prishtinë","Prishtinë",2
"26",2020-03-22,"4","Gjilan","Vrapçiq",1
"27",2020-03-22,"30","Malishevë","Damanek",1
"28",2020-03-22,"18","Podujevë","Dumnicë e Poshtme",0
"29",2020-03-23,"2","Gjakovë","Gjakovë",1
"30",2020-03-23,"4","Gjilan","Vrapçiq",11
"31",2020-03-23,"30","Malishevë","Llashkadrenoc",7
"32",2020-03-23,"30","Malishevë","Malishevë",2
"33",2020-03-23,"30","Malishevë","Senik",5
"34",2020-03-23,"19","Prishtinë","Prishtinë",1
"35",2020-03-23,"22","Shtime","Petrovë",1
"36",2020-03-24,"4","Gjilan","Vrapçiq",1
"37",2020-03-24,"27","Vushtrri","Studime",1
"38",2020-03-25,"30","Malishevë","Damanek",4
"39",2020-03-25,"19","Prishtinë","Prishtinë",3
"40",2020-03-25,"27","Vushtrri","Studime",1
"41",2020-03-26,"30","Malishevë","Malishevë",7
"42",2020-03-26,"17","Pejë","Llugaxhi",1
"43",2020-03-26,"18","Podujevë","Dumnicë e Poshtme",0
"44",2020-03-26,"19","Prishtinë","Prishtinë",3
"45",2020-03-26,"27","Vushtrri","Studime",4
"46",2020-03-27,"2","Gjakovë","Gjakovë",1
"47",2020-03-27,"19","Prishtinë","Prishtinë",1
"48",2020-03-28,"18","Podujevë","Dumnicë e Poshtme",1
"49",2020-03-28,"19","Prishtinë","Prishtinë",2
"50",2020-03-29,"4","Gjilan","Vrapçiq",1
"51",2020-03-29,"12","Leposaviq","Leposaviq",1
"52",2020-03-29,"30","Malishevë","Malishevë",1
"53",2020-03-29,"19","Prishtinë","Prishtinë",1
"54",2020-03-30,"9","Fushë Kosovë","Miradi e Epërme",3
"55",2020-03-30,"10","Kamenicë","Topanicë",1
"56",2020-03-30,"30","Malishevë","Malishevë",5
"57",2020-03-30,"38","Mitrovicë e Veriut","Mitrovicë e Veriut",1
"58",2020-03-30,"19","Prishtinë","Prishtinë",2
"59",2020-03-31,"2","Gjakovë","Gjakovë",1
"60",2020-03-31,"8","Klinë","Dranashiq",0
"61",2020-03-31,"30","Malishevë","Bubavec",0
"62",2020-03-31,"30","Malishevë","Malishevë",1
"63",2020-03-31,"38","Mitrovicë e Veriut","Mitrovicë e Veriut",2
"64",2020-03-31,"20","Prizren","Prizren",1
"65",2020-03-31,"26","Viti","Stubëll e Poshtme",0
"66",2020-03-31,"27","Vushtrri","Vushtrri",1
"67",2020-04-01,"2","Gjakovë","Gjakovë",1
"68",2020-04-01,"4","Gjilan","Vrapçiq",0
"69",2020-04-01,"10","Kamenicë","Topanicë",11
"70",2020-04-01,"30","Malishevë","Llashkadrenoc",0
"71",2020-04-01,"19","Prishtinë","Prishtinë",1
"72",2020-04-01,"22","Shtime","Petrovë",0
"73",2020-04-02,"20","Prizren","Korishtë",1
"74",2020-04-03,"4","Gjilan","Vrapçiq",1
"75",2020-04-03,"30","Malishevë","Damanek",0
"76",2020-04-03,"30","Malishevë","Malishevë",0
"77",2020-04-03,"15","Obiliq","Obiliq",0
"78",2020-04-03,"17","Pejë","Llugaxhi",4
"79",2020-04-03,"17","Pejë","Pejë",1
"80",2020-04-03,"20","Prizren","Korishtë",0
"81",2020-04-03,"24","Suharekë","Suharekë",0
"82",2020-04-04,"2","Gjakovë","Gjakovë",0
"83",2020-04-04,"30","Malishevë","Lladroc",0
"84",2020-04-04,"30","Malishevë","Llashkadrenoc",0
"85",2020-04-04,"30","Malishevë","Malishevë",2
"86",2020-04-04,"30","Malishevë","Panorc",0
"87",2020-04-04,"38","Mitrovicë e Veriut","Mitrovicë e Veriut",3
"88",2020-04-04,"19","Prishtinë","Prishtinë",2
"89",2020-04-04,"27","Vushtrri","Smrekonicë",1
"90",2020-04-05,"2","Gjakovë","Gjakovë",1
"91",2020-04-05,"30","Malishevë","Banjë",3
"92",2020-04-05,"27","Vushtrri","Smrekonicë",1
"93",2020-04-06,"3","Drenas","Drenas",1
"94",2020-04-06,"30","Malishevë","Banjë",15
"95",2020-04-06,"30","Malishevë","Llashkadrenoc",0
"96",2020-04-06,"30","Malishevë","Malishevë",2
"97",2020-04-06,"19","Prishtinë","Prishtinë",1
"98",2020-04-06,"20","Prizren","Korishtë",0
"99",2020-04-06,"24","Suharekë","Bllacë",1
"100",2020-04-07,"25","Ferizaj","Sazli",1
"101",2020-04-07,"2","Gjakovë","Gjakovë",1
"102",2020-04-07,"4","Gjilan","Gjilan",1
"103",2020-04-07,"4","Gjilan","Zhegër",0
"104",2020-04-07,"10","Kamenicë","Topanicë",1
"105",2020-04-07,"8","Klinë","Ujmir",1
"106",2020-04-07,"30","Malishevë","Llashkadrenoc",1
"107",2020-04-07,"30","Malishevë","Senik",2
"108",2020-04-07,"19","Prishtinë","Prishtinë",3
"109",2020-04-07,"26","Viti","Stubëll e Poshtme",0
"110",2020-04-07,"27","Vushtrri","Smrekonicë",7
"111",2020-04-07,"27","Vushtrri","Vushtrri",1
"112",2020-04-08,"4","Gjilan","Gjilan",0
"113",2020-04-08,"8","Klinë","Gjurgjevik",1
"114",2020-04-08,"12","Leposaviq","Leposaviq",2
"115",2020-04-08,"13","Lipjan","Krojmir",1
"116",2020-04-08,"30","Malishevë","Banjë",2
"117",2020-04-08,"30","Malishevë","Llashkadrenoc",0
