id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
1,ABAZ PEPAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,109,Deçan
1,ADELINA UKAJ,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,145,Deçan
1,ADNAN DEMHASAJ,M,70,Partia e Drejtësisë - PD,,12,Deçan
1,AGON BERISHA,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6,Deçan
1,AGRON BOSHTRAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,72,Deçan
1,ALBERT KURTULAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,245,Deçan
1,ALBESE CACAJ,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,151,Deçan
1,ALBIAN MATAJ,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,52,Deçan
1,ALBRORE SELMONAJ,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,137,Deçan
1,ARBANA BERISHA,F,61,LËVIZJA VETËVENDOSJE!,,2,Deçan
1,ARDIANA QORRAJ,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,50,Deçan
1,ARTUR LOKAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,158,Deçan
1,ASTRIT KRASNIQI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,31,Deçan
1,AVDI BUFAJ,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,55,Deçan
1,BAJRAM KADRIJAJ,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,164,Deçan
1,BAJRAM ZOGAJ,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,102,Deçan
1,BAJRUSH MUSTAFAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,80,Deçan
1,BEKE OSMONAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,368,Deçan
1,BESIJANA ISLAMAJ,F,61,LËVIZJA VETËVENDOSJE!,,18,Deçan
