Candidate,Gender,Party_ID,Party,Acronym,Votes
ABAZ ADEMI,M,97,NDS - NOVA DEMOKRATSKA STRANKA,,174
ABAZ BERISHA,M,70,Partia e Drejtësisë - PD,,2
ABAZ KELMENDI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,74
ABAZ PEPAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,109
ABDIRAMAN ZULJI,M,43,USB - UJEDINJENA STRANKA BOŠNJAKA,,34
ABDULA BILIBANI,M,50,VAKAT - KOALICIJA VAKAT,,50
ABDULHADI KRASNIC,M,102,KDTP - Kosova Demokratik Türk Partisi,,739
ABDULHADI KRASNIC,M,102,KDTP - KOSOVA DEMOKRATIK TÜRK PARTISI,,17
ABDULLA CEKO,M,74,BD - BASHKIMI DEMOKRATIK,,85
ABDULLA OBRTINCA,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,4
ABDULLAH CARIKCI,M,102,KDTP - Kosova Demokratik Türk Partisi,,24
ABDULLAH CITAKU,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,30
ABDULLAH ETEMI,M,74,BD - BASHKIMI DEMOKRATIK,,132
ABDULLAH MORINA,M,102,KDTP - Kosova Demokratik Türk Partisi,,50
ABDULLAH SELIMI,M,112,NISMA QYTETARE PËR FERIZAJ,,1
ABDULLAH VOJVODA,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,176
ABDURAHIM MIKULLOVCI,M,61,LËVIZJA VETËVENDOSJE!,,18
ABDURRAHMAN NAZIFI,M,121,Lëvizja Për Bashkim - LB,,70
ABDURRAHMON PLLANA,M,89,AKR - ALEANCA KOSOVA E RE,,34
ABDYL GASHI,M,61,LËVIZJA VETËVENDOSJE!,,33
ABDYL ZHAVELI,M,118,PSD - Partia Socialdemokrate e Kosovës,,6
ABEDIN AJVAZI,M,61,LËVIZJA VETËVENDOSJE!,,22
ABEDIN ALIU,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,78
ABEDIN HYSENAJ,M,89,AKR - ALEANCA KOSOVA E RE,,6
ABEDIN MEHAJ,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,6
ABEDIN PLLANA,M,89,AKR - ALEANCA KOSOVA E RE,,152
ABETARE AGAJ,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,56
ABETARE DOBRUNA,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,10
ABETARE FAZLIU,F,121,Lëvizja Për Bashkim - LB,,235
ABETARE GASHI,F,120,Partia e Fortë - PF,,87
ABETARE KURTI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,105
ABETARE NEZIRI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,14
ABETARE XHEMAJLI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,85
ABIDE PLEPOLLI,F,118,PSD - Partia Socialdemokrate e Kosovës,,7
ABIT AVDIU,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,135
ABIT KASTRATI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,706
ADELINA AHMETI-BERISHA,F,70,Partia e Drejtësisë - PD,,46
ADELINA BEQIRI,F,122,PDAK - Partia Demokratike e Ashkanlive të Kosovës,,1
ADELINA BERISHA,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,155
ADELINA EMINI,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,26
ADELINA HAZIRAJ,F,70,Partia e Drejtësisë - PD,,11
ADELINA HAZIRI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,145
ADELINA HOXHAJ,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,73
ADELINA KOVACEVIQ,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,79
ADELINA KRASNIQI,F,61,LËVIZJA VETËVENDOSJE!,,89
ADELINA KRASNIQI,F,75,ALEANCA PËR LIPJANIN,,91
ADELINA LIPOVICA,F,61,LËVIZJA VETËVENDOSJE!,,59
ADELINA MAXHUNI,F,121,Lëvizja Për Bashkim - LB,,22
ADELINA META,F,70,Partia e Drejtësisë - PD,,12
ADELINA MJEKIQI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,50
ADELINA SEFA,F,70,Partia e Drejtësisë - PD,,1
ADELINA SEJDIU,F,61,LËVIZJA VETËVENDOSJE!,,30
ADELINA SHABANI,F,107,INICIATIVA QYTETARE PËR DRENASIN,,43
ADELINA TAHIRI,F,63,PK - PARTIA KONSERVATORE E KOSOVËS,,8
ADELINA UKAJ,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,145
ADELINA ZEQIRI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,116
ADELINA ZHINIPOTOKU,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,39
ADELINE BERISHA,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,132
ADELINE KRASNIQI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,1
ADELINE STUBLLA,F,61,LËVIZJA VETËVENDOSJE!,,107
ADEM ADEMI,M,70,Partia e Drejtësisë - PD,,37
ADEM BALIU,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,39
ADEM BEQIRI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,83
ADEM BERISHA,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6245
ADEM BUBLICA,M,117,INICIATIVA QYTETARE E LIPJANIT DEMOKRATIK,,16
ADEM GASHI,M,89,AKR - ALEANCA KOSOVA E RE,,3
ADEM GOVORI,M,89,AKR - ALEANCA KOSOVA E RE,,25
ADEM HODZA,M,64,CDU - CENTAR DEMOKRATSKE UNIJE,,1944
ADEM HOTI,M,70,Partia e Drejtësisë - PD,,2
ADEM KQIKU,M,70,Partia e Drejtësisë - PD,,70
ADEM KRASNIQI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,30
ADEM PLAKOLLI,M,70,Partia e Drejtësisë - PD,,102
ADEM PRENIQI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,2285
ADEM RAMADANI,M,61,LËVIZJA VETËVENDOSJE!,,94
ADEM SAGDATI,M,64,CDU - CENTAR DEMOKRATSKE UNIJE,,67
ADEM SEJDIAJ,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,131
ADEM SEJDIU,M,61,LËVIZJA VETËVENDOSJE!,,15
ADEM SEJDIU,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,276
ADEM SHABANI,M,121,Lëvizja Për Bashkim - LB,,27
ADEM TAIRI,M,70,Partia e Drejtësisë - PD,,0
ADEM TOFAJ,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,12
ADEM ZHITOPOTOKU,M,89,AKR - ALEANCA KOSOVA E RE,,97
ADIFETE EMINI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,216
ADIFETE MULAKU,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,66
ADIL REXHEPI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,43
ADIL TAHIRI,M,89,AKR - ALEANCA KOSOVA E RE,,28
ADILE GASHI,F,61,LËVIZJA VETËVENDOSJE!,,1
ADILE JAKUPI,F,72,INICIATIVA QYTETARE LËVIZJA VATRA,,51
ADILJ GURGUSKA,M,64,CDU - CENTAR DEMOKRATSKE UNIJE,,12
ADIS SALAJI,M,64,CDU - CENTAR DEMOKRATSKE UNIJE,,10
ADMIR ALIU,M,122,PDAK - Partia Demokratike e Ashkanlive të Kosovës,,69
ADMIR DEKOVIC,M,92,BSDAK - BOŠNJACKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,,124
ADMIR VELIJA,M,70,Partia e Drejtësisë - PD,,9
ADNA ZLLANOGA,F,61,LËVIZJA VETËVENDOSJE!,,29
ADNAN ABDULLAHU,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,17
ADNAN BAJRAMI,M,102,KDTP - Kosova Demokratik Türk Partisi,,93
ADNAN DEMHASAJ,M,70,Partia e Drejtësisë - PD,,12
ADNAN HAJDARI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,40
ADNAN HYSENI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,381
ADNAN IMERI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,258
ADNAN KLINAKU,M,70,Partia e Drejtësisë - PD,,230
ADNAN KOCI,M,61,LËVIZJA VETËVENDOSJE!,,30
ADNAN KRASNIQI,M,75,ALEANCA PËR LIPJANIN,,96
ADNAN MANI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,62
ADNAN MUSTAFA,M,72,INICIATIVA QYTETARE LËVIZJA VATRA,,79
ADNAN PEPSHI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,31
ADNAN QARKAXHIJA,M,70,Partia e Drejtësisë - PD,,18
ADNAN RUDNIKU,M,89,AKR - ALEANCA KOSOVA E RE,,25
ADNAN SELMANI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,146
ADNAN SOGOJEVA,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,117
