id,Polling Center,Party_ID,Party,Votes,Municipality
1,0101C,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),6,Deçan
1,0101C,61,LËVIZJA VETËVENDOSJE!,72,Deçan
1,0101C,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,755,Deçan
1,0101C,70,Partia e Drejtësisë - PD,29,Deçan
1,0101C,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,415,Deçan
1,0101C,94,BALLI KOMBËTAR I KOSOVËS - BKK,7,Deçan
1,0101C,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,168,Deçan
1,0101X,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),13,Deçan
1,0101X,61,LËVIZJA VETËVENDOSJE!,160,Deçan
1,0101X,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1255,Deçan
1,0101X,70,Partia e Drejtësisë - PD,13,Deçan
1,0101X,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,533,Deçan
1,0101X,94,BALLI KOMBËTAR I KOSOVËS - BKK,6,Deçan
1,0101X,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,202,Deçan
1,0102C,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),7,Deçan
1,0102C,61,LËVIZJA VETËVENDOSJE!,96,Deçan
1,0102C,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,684,Deçan
1,0102C,70,Partia e Drejtësisë - PD,19,Deçan
1,0102C,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,628,Deçan
1,0102C,94,BALLI KOMBËTAR I KOSOVËS - BKK,4,Deçan
1,0102C,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,318,Deçan
1,0103C,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),4,Deçan
1,0103C,61,LËVIZJA VETËVENDOSJE!,64,Deçan
1,0103C,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,893,Deçan
1,0103C,70,Partia e Drejtësisë - PD,12,Deçan
1,0103C,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,341,Deçan
1,0103C,94,BALLI KOMBËTAR I KOSOVËS - BKK,24,Deçan
1,0103C,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,181,Deçan
1,0105C,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),5,Deçan
1,0105C,61,LËVIZJA VETËVENDOSJE!,83,Deçan
1,0105C,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,836,Deçan
1,0105C,70,Partia e Drejtësisë - PD,21,Deçan
1,0105C,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,975,Deçan
1,0105C,94,BALLI KOMBËTAR I KOSOVËS - BKK,4,Deçan
1,0105C,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,323,Deçan
1,0106C,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),7,Deçan
1,0106C,61,LËVIZJA VETËVENDOSJE!,129,Deçan
1,0106C,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1499,Deçan
1,0106C,70,Partia e Drejtësisë - PD,13,Deçan
1,0106C,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,385,Deçan
1,0106C,94,BALLI KOMBËTAR I KOSOVËS - BKK,9,Deçan
1,0106C,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,295,Deçan
1,0108C,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),38,Deçan
1,0108C,61,LËVIZJA VETËVENDOSJE!,139,Deçan
1,0108C,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,696,Deçan
1,0108C,70,Partia e Drejtësisë - PD,17,Deçan
1,0108C,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,958,Deçan
1,0108C,94,BALLI KOMBËTAR I KOSOVËS - BKK,2,Deçan
1,0108C,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,196,Deçan
1,0110C,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),4,Deçan
1,0110C,61,LËVIZJA VETËVENDOSJE!,43,Deçan
1,0110C,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,517,Deçan
1,0110C,70,Partia e Drejtësisë - PD,34,Deçan
1,0110C,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,273,Deçan
1,0110C,94,BALLI KOMBËTAR I KOSOVËS - BKK,27,Deçan
1,0110C,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,150,Deçan
1,BM201,55,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS (PSHDK),0,Deçan
1,BM201,61,LËVIZJA VETËVENDOSJE!,8,Deçan
1,BM201,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1,Deçan
1,BM201,70,PARTIA E DREJTËSISË - PD,0,Deçan
1,BM201,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4,Deçan
1,BM201,94,BALLI KOMBËTAR I KOSOVËS - BKK,0,Deçan
1,BM201,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,14,Deçan
1,CB201,55,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS (PSHDK),3,Deçan
1,CB201,61,LËVIZJA VETËVENDOSJE!,5,Deçan
1,CB201,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,34,Deçan
1,CB201,70,PARTIA E DREJTËSISË - PD,1,Deçan
1,CB201,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,20,Deçan
1,CB201,94,BALLI KOMBËTAR I KOSOVËS - BKK,0,Deçan
1,CB201,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,7,Deçan
10,1001D,106,GRAÐANSKA INICIJATIVA SVI ZA KAMENICU,18,Kamenicë
10,1001D,61,LËVIZJA VETËVENDOSJE!,61,Kamenicë
10,1001D,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,574,Kamenicë
10,1001D,70,Partia e Drejtësisë - PD,77,Kamenicë
10,1001D,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,512,Kamenicë
10,1001D,89,AKR - ALEANCA KOSOVA E RE,534,Kamenicë
10,1001D,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,470,Kamenicë
10,1001X,106,GRAÐANSKA INICIJATIVA SVI ZA KAMENICU,68,Kamenicë
10,1001X,61,LËVIZJA VETËVENDOSJE!,68,Kamenicë
10,1001X,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,369,Kamenicë
10,1001X,70,Partia e Drejtësisë - PD,69,Kamenicë
10,1001X,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,496,Kamenicë
10,1001X,89,AKR - ALEANCA KOSOVA E RE,351,Kamenicë
10,1001X,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,402,Kamenicë
10,1002D,106,GRAÐANSKA INICIJATIVA SVI ZA KAMENICU,0,Kamenicë
10,1002D,61,LËVIZJA VETËVENDOSJE!,85,Kamenicë
10,1002D,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,83,Kamenicë
10,1002D,70,Partia e Drejtësisë - PD,34,Kamenicë
10,1002D,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,384,Kamenicë
10,1002D,89,AKR - ALEANCA KOSOVA E RE,82,Kamenicë
10,1002D,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,233,Kamenicë
10,1003D,106,GRAÐANSKA INICIJATIVA SVI ZA KAMENICU,1,Kamenicë
10,1003D,61,LËVIZJA VETËVENDOSJE!,19,Kamenicë
10,1003D,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,107,Kamenicë
10,1003D,70,Partia e Drejtësisë - PD,5,Kamenicë
10,1003D,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,30,Kamenicë
10,1003D,89,AKR - ALEANCA KOSOVA E RE,128,Kamenicë
10,1003D,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,32,Kamenicë
10,1004D,106,GRAÐANSKA INICIJATIVA SVI ZA KAMENICU,0,Kamenicë
10,1004D,61,LËVIZJA VETËVENDOSJE!,6,Kamenicë
10,1004D,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,53,Kamenicë
10,1004D,70,Partia e Drejtësisë - PD,0,Kamenicë
10,1004D,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,50,Kamenicë
10,1004D,89,AKR - ALEANCA KOSOVA E RE,143,Kamenicë
10,1004D,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,44,Kamenicë
10,1005D,106,GRAÐANSKA INICIJATIVA SVI ZA KAMENICU,0,Kamenicë
10,1005D,61,LËVIZJA VETËVENDOSJE!,44,Kamenicë
10,1005D,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,118,Kamenicë
10,1005D,70,Partia e Drejtësisë - PD,13,Kamenicë
10,1005D,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,189,Kamenicë
10,1005D,89,AKR - ALEANCA KOSOVA E RE,96,Kamenicë
10,1005D,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,424,Kamenicë
10,1006D,106,GRAÐANSKA INICIJATIVA SVI ZA KAMENICU,0,Kamenicë
