id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
1,0101C,0101C/05D,10,LËVIZJA VETËVENDOSJE!,22,Deçan
1,0108C,0108C/04R,10,LËVIZJA VETËVENDOSJE!,61,Deçan
1,0112C,0112C/02D,10,LËVIZJA VETËVENDOSJE!,29,Deçan
1,0103C,0103C/03R,10,LËVIZJA VETËVENDOSJE!,7,Deçan
1,0111C,0111C/02R,10,LËVIZJA VETËVENDOSJE!,56,Deçan
1,0110C,0110C/04D,10,LËVIZJA VETËVENDOSJE!,45,Deçan
1,0114C,0114C/02R,10,LËVIZJA VETËVENDOSJE!,33,Deçan
1,0110C,0110C/03R,10,LËVIZJA VETËVENDOSJE!,34,Deçan
1,0101X,0101X/06R,10,LËVIZJA VETËVENDOSJE!,33,Deçan
1,0101X,0101X/07D,10,LËVIZJA VETËVENDOSJE!,25,Deçan
1,0106C,0106C/03D,10,LËVIZJA VETËVENDOSJE!,13,Deçan
1,0101C,0101C/03R,10,LËVIZJA VETËVENDOSJE!,18,Deçan
1,0101X,0101X/01R,10,LËVIZJA VETËVENDOSJE!,54,Deçan
1,0105C,0105C/03R,10,LËVIZJA VETËVENDOSJE!,22,Deçan
1,0108C,0108C/03R,10,LËVIZJA VETËVENDOSJE!,24,Deçan
1,0114C,0114C/01R,10,LËVIZJA VETËVENDOSJE!,42,Deçan
1,0101X,0101X/05R,10,LËVIZJA VETËVENDOSJE!,19,Deçan
1,0102C,0102C/02R,10,LËVIZJA VETËVENDOSJE!,27,Deçan
1,0103C,0103C/01R,10,LËVIZJA VETËVENDOSJE!,0,Deçan
1,0111C,0111C/01R,10,LËVIZJA VETËVENDOSJE!,24,Deçan
1,0103C,0103C/04D,10,LËVIZJA VETËVENDOSJE!,5,Deçan
1,0104C,0104C/02R,10,LËVIZJA VETËVENDOSJE!,24,Deçan
1,0103C,0103C/02R,10,LËVIZJA VETËVENDOSJE!,9,Deçan
1,0108C,0108C/05D,10,LËVIZJA VETËVENDOSJE!,34,Deçan
1,0102C,0102C/03R,10,LËVIZJA VETËVENDOSJE!,16,Deçan
1,0110C,0110C/02R,10,LËVIZJA VETËVENDOSJE!,25,Deçan
1,0101X,0101X/02R,10,LËVIZJA VETËVENDOSJE!,19,Deçan
1,0104C,0104C/01R,10,LËVIZJA VETËVENDOSJE!,37,Deçan
1,0101X,0101X/03R,10,LËVIZJA VETËVENDOSJE!,14,Deçan
1,0108C,0108C/02R,10,LËVIZJA VETËVENDOSJE!,58,Deçan
1,0101C,0101C/02R,10,LËVIZJA VETËVENDOSJE!,19,Deçan
1,0107C,0107C/02D,10,LËVIZJA VETËVENDOSJE!,6,Deçan
1,0101X,0101X/04R,10,LËVIZJA VETËVENDOSJE!,7,Deçan
1,0102C,0102C/04R,10,LËVIZJA VETËVENDOSJE!,26,Deçan
1,0105C,0105C/01R,10,LËVIZJA VETËVENDOSJE!,47,Deçan
1,0113C,0113C/02D,10,LËVIZJA VETËVENDOSJE!,18,Deçan
1,0111C,0111C/03D,10,LËVIZJA VETËVENDOSJE!,17,Deçan
1,0106C,0106C/02R,10,LËVIZJA VETËVENDOSJE!,17,Deçan
1,0108C,0108C/01R,10,LËVIZJA VETËVENDOSJE!,56,Deçan
1,0105C,0105C/04R,10,LËVIZJA VETËVENDOSJE!,52,Deçan
1,0106C,0106C/01R,10,LËVIZJA VETËVENDOSJE!,10,Deçan
1,0113C,0113C/01R,10,LËVIZJA VETËVENDOSJE!,35,Deçan
1,0105C,0105C/02R,10,LËVIZJA VETËVENDOSJE!,29,Deçan
1,0112C,0112C/01R,10,LËVIZJA VETËVENDOSJE!,11,Deçan
1,BM101,BM101/001,10,LËVIZJA VETËVENDOSJE!,27,Deçan
1,0101C,0101C/01R,10,LËVIZJA VETËVENDOSJE!,8,Deçan
1,0102C,0102C/06D,10,LËVIZJA VETËVENDOSJE!,13,Deçan
1,0110C,0110C/01R,10,LËVIZJA VETËVENDOSJE!,9,Deçan
1,0104C,0104C/03D,10,LËVIZJA VETËVENDOSJE!,14,Deçan
1,0105C,0105C/05D,10,LËVIZJA VETËVENDOSJE!,25,Deçan
1,0107C,0107C/01R,10,LËVIZJA VETËVENDOSJE!,7,Deçan
1,CB101,CB101/001,10,LËVIZJA VETËVENDOSJE!,10,Deçan
1,0102C,0102C/05R,10,LËVIZJA VETËVENDOSJE!,8,Deçan
1,0102C,0102C/01R,10,LËVIZJA VETËVENDOSJE!,39,Deçan
1,0114C,0114C/03D,10,LËVIZJA VETËVENDOSJE!,22,Deçan
1,0101C,0101C/04R,10,LËVIZJA VETËVENDOSJE!,17,Deçan
1,0101X,0101X/06R,21,BK - BALLI KOMBËTAR I KOSOVËS,2,Deçan
1,0102C,0102C/03R,21,BK - BALLI KOMBËTAR I KOSOVËS,6,Deçan
1,0112C,0112C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0106C,0106C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0101X,0101X/03R,21,BK - BALLI KOMBËTAR I KOSOVËS,3,Deçan
1,0101X,0101X/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0101C,0101C/05D,21,BK - BALLI KOMBËTAR I KOSOVËS,6,Deçan
1,0105C,0105C/03R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0101X,0101X/05R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0114C,0114C/03D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0104C,0104C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0102C,0102C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0101C,0101C/03R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0103C,0103C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0113C,0113C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0101C,0101C/04R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0114C,0114C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0105C,0105C/04R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0104C,0104C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0102C,0102C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0103C,0103C/04D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0102C,0102C/04R,21,BK - BALLI KOMBËTAR I KOSOVËS,3,Deçan
1,0108C,0108C/03R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0101X,0101X/04R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0107C,0107C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0113C,0113C/02D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0103C,0103C/03R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0102C,0102C/05R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0111C,0111C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0101C,0101C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,2,Deçan
1,0110C,0110C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,10,Deçan
1,0108C,0108C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0108C,0108C/04R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0102C,0102C/06D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0105C,0105C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0112C,0112C/02D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0114C,0114C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0101X,0101X/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,3,Deçan
1,0108C,0108C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0110C,0110C/04D,21,BK - BALLI KOMBËTAR I KOSOVËS,4,Deçan
1,0110C,0110C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
