id,Party_ID,Party,Votes,Municipality
1,102,BALLI KOMBËTAR I KOSOVËS,186,Deçan
1,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,8329,Deçan
1,144,LËVIZJA VETËVENDOSJE!,1491,Deçan
1,160,LIDHJA DEMOKRATIKE E KOSOVËS,3723,Deçan
1,177,PARTIA DEMOKRATIKE E KOSOVËS,437,Deçan
2,119,NISMA SOCIALDEMOKRATE,1436,Gjakovë
2,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,11574,Gjakovë
2,131,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,493,Gjakovë
2,134,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,4367,Gjakovë
2,142,PARTIA E DREJTËSISË,215,Gjakovë
2,144,LËVIZJA VETËVENDOSJE!,10804,Gjakovë
2,160,LIDHJA DEMOKRATIKE E KOSOVËS,4646,Gjakovë
2,177,PARTIA DEMOKRATIKE E KOSOVËS,4910,Gjakovë
3,119,NISMA SOCIALDEMOKRATE,8,Drenas
3,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,29,Drenas
3,144,LËVIZJA VETËVENDOSJE!,226,Drenas
3,160,LIDHJA DEMOKRATIKE E KOSOVËS,24,Drenas
3,165,INICIATIVA QYTETARE GREEN PËR DRENAS,75,Drenas
3,177,PARTIA DEMOKRATIKE E KOSOVËS,447,Drenas
3,182,DEMOKRATËT PËR DRENASIN,309,Drenas
3,183,SMAJL MUSTAFA,7,Drenas
3,119,NISMA SOCIALDEMOKRATE,320,Drenas
3,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,771,Drenas
3,144,LËVIZJA VETËVENDOSJE!,3313,Drenas
3,160,LIDHJA DEMOKRATIKE E KOSOVËS,305,Drenas
3,165,INICIATIVA QYTETARE GREEN PËR DRENAS,1088,Drenas
3,177,PARTIA DEMOKRATIKE E KOSOVËS,8950,Drenas
3,182,DEMOKRATËT PËR DRENASIN,4749,Drenas
3,183,SMAJL MUSTAFA,241,Drenas
4,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,756,Gjilan
4,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,2725,Gjilan
4,142,PARTIA E DREJTËSISË,447,Gjilan
4,144,LËVIZJA VETËVENDOSJE!,11637,Gjilan
4,147,SRPSKA LISTA,1151,Gjilan
4,149,ALEANCA KOSOVA E RE,1257,Gjilan
4,160,LIDHJA DEMOKRATIKE E KOSOVËS,15615,Gjilan
4,174,LËVIZJA QYTETARE VATRA,968,Gjilan
4,177,PARTIA DEMOKRATIKE E KOSOVËS,5414,Gjilan
5,102,BALLI KOMBËTAR I KOSOVËS,29,Dragash
5,104,POKRET ZA GORA,230,Dragash
5,105,GRADANSKA INICIJATIVA GORE,244,Dragash
5,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,340,Dragash
5,123,KOALICIJA VAKAT,1261,Dragash
5,143,JEDINSTVENA GORANSKA PARTIJA,1198,Dragash
5,144,LËVIZJA VETËVENDOSJE!,2136,Dragash
5,160,LIDHJA DEMOKRATIKE E KOSOVËS,3669,Dragash
5,177,PARTIA DEMOKRATIKE E KOSOVËS,4310,Dragash
6,110,INICJATIVA BOŠNJAČKOG JEDINTSVA,154,Istog
6,111,RADOŠ REPANOVIĆ,14,Istog
6,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,4610,Istog
6,125,GIBI,347,Istog
6,129,INICIATIVA QYTETARE BASHKË PËR ISTOGUN,335,Istog
6,131,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,198,Istog
6,144,LËVIZJA VETËVENDOSJE!,3419,Istog
6,147,SRPSKA LISTA,196,Istog
6,158,DRAGAN REPANOVIĆ,7,Istog
6,160,LIDHJA DEMOKRATIKE E KOSOVËS,7100,Istog
6,177,PARTIA DEMOKRATIKE E KOSOVËS,1794,Istog
7,119,NISMA SOCIALDEMOKRATE,424,Kaçanik
7,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,989,Kaçanik
7,144,LËVIZJA VETËVENDOSJE!,4540,Kaçanik
