id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
1,0101C,0101C/04D,160,LIDHJA DEMOKRATIKE E KOSOVËS,65,Deçan
1,0101C,0101C/02R,144,LËVIZJA VETËVENDOSJE!,32,Deçan
1,0101C,0101C/01R,102,BALLI KOMBËTAR I KOSOVËS,2,Deçan
1,0101C,0101C/01R,160,LIDHJA DEMOKRATIKE E KOSOVËS,75,Deçan
1,0101C,0101C/04D,102,BALLI KOMBËTAR I KOSOVËS,2,Deçan
1,0101C,0101C/02R,177,PARTIA DEMOKRATIKE E KOSOVËS,0,Deçan
1,0101C,0101C/04D,177,PARTIA DEMOKRATIKE E KOSOVËS,8,Deçan
1,0101C,0101C/02R,102,BALLI KOMBËTAR I KOSOVËS,8,Deçan
1,0101C,0101C/03R,144,LËVIZJA VETËVENDOSJE!,28,Deçan
1,0101C,0101C/02R,160,LIDHJA DEMOKRATIKE E KOSOVËS,57,Deçan
1,0101C,0101C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,244,Deçan
1,0101C,0101C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,296,Deçan
1,0101C,0101C/03R,177,PARTIA DEMOKRATIKE E KOSOVËS,3,Deçan
1,0101C,0101C/01R,144,LËVIZJA VETËVENDOSJE!,49,Deçan
1,0101C,0101C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,153,Deçan
1,0101C,0101C/04D,144,LËVIZJA VETËVENDOSJE!,25,Deçan
1,0101C,0101C/03R,160,LIDHJA DEMOKRATIKE E KOSOVËS,76,Deçan
1,0101C,0101C/01R,177,PARTIA DEMOKRATIKE E KOSOVËS,10,Deçan
1,0101C,0101C/03R,102,BALLI KOMBËTAR I KOSOVËS,8,Deçan
1,0101C,0101C/04D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,152,Deçan
1,0101X,0101X/01R,144,LËVIZJA VETËVENDOSJE!,22,Deçan
1,0101X,0101X/05R,160,LIDHJA DEMOKRATIKE E KOSOVËS,52,Deçan
1,0101X,0101X/02R,177,PARTIA DEMOKRATIKE E KOSOVËS,3,Deçan
1,0101X,0101X/04R,144,LËVIZJA VETËVENDOSJE!,25,Deçan
1,0101X,0101X/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,251,Deçan
1,0101X,0101X/01R,177,PARTIA DEMOKRATIKE E KOSOVËS,3,Deçan
1,0101X,0101X/05R,177,PARTIA DEMOKRATIKE E KOSOVËS,6,Deçan
1,0101X,0101X/06D,144,LËVIZJA VETËVENDOSJE!,14,Deçan
1,0101X,0101X/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,185,Deçan
