id,Polling Center,Polling Station,Candidate,Party_ID,Party,Votes,Municipality
1,0101C,0101C/01R,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,9,Deçan
1,0101C,0101C/01R,RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,155,Deçan
1,0101C,0101C/01R,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,96,Deçan
1,0101C,0101C/01R,XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,14,Deçan
1,0101C,0101C/02R,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,15,Deçan
1,0101C,0101C/02R,RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,236,Deçan
1,0101C,0101C/02R,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,113,Deçan
1,0101C,0101C/02R,XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,16,Deçan
1,0101C,0101C/03R,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,18,Deçan
1,0101C,0101C/03R,RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,244,Deçan
1,0101C,0101C/03R,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,48,Deçan
1,0101C,0101C/03R,XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,9,Deçan
1,0101C,0101C/04R,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,14,Deçan
1,0101C,0101C/04R,RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,235,Deçan
1,0101C,0101C/04R,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,125,Deçan
1,0101C,0101C/04R,XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,36,Deçan
1,0101C,0101C/05D,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,7,Deçan
1,0101C,0101C/05D,RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,97,Deçan
1,0101C,0101C/05D,BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,81,Deçan
1,0101C,0101C/05D,XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,20,Deçan
1,0101X,0101X/01R,BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,17,Deçan
