id,Party_ID,Party,Votes,Municipality
1,61,LËVIZJA VETËVENDOSJE!,676,Deçan
1,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,8669,Deçan
1,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,5555,Deçan
1,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,1078,Deçan
10,61,LËVIZJA VETËVENDOSJE!,491,Kamenicë
10,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,2495,Kamenicë
10,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6155,Kamenicë
10,89,AKR - ALEANCA KOSOVA E RE,3466,Kamenicë
10,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6071,Kamenicë
11,110,TË PAVARURIT E MITROVICËS,833,Mitrovicë
11,61,LËVIZJA VETËVENDOSJE!,2259,Mitrovicë
11,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1039,Mitrovicë
11,70,Partia e Drejtësisë - PD,383,Mitrovicë
11,70,PARTIA E DREJTËSISË - PD,19,Mitrovicë
11,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,5972,Mitrovicë
11,89,AKR - ALEANCA KOSOVA E RE,6483,Mitrovicë
11,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,12608,Mitrovicë
12,123,DEMOKRATSKA INICIJATIVA,940,Leposaviq
12,126,G.I.SRPSKA,2225,Leposaviq
12,130,Samostalna Liberalna Stranka - SLS,521,Leposaviq
12,130,SAMOSTALNA LIBERALNA STRANKA - SLS,17,Leposaviq
12,132,NARODNA PRAVDA,209,Leposaviq
12,41,GI SDP - OLIVER IVANOVIC,244,Leposaviq
12,83,GRAÐANSKA INICIJATIVA ZAJEDNO,166,Leposaviq
13,61,LËVIZJA VETËVENDOSJE!,858,Lipjan
13,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,6026,Lipjan
13,75,ALEANCA PËR LIPJANIN,1581,Lipjan
13,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,10294,Lipjan
13,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,10575,Lipjan
14,124,BUDUCNOST ZA NOVO BRDO,92,Novobërdë
14,126,G.I.SRPSKA,1401,Novobërdë
14,130,Samostalna Liberalna Stranka - SLS,213,Novobërdë
14,130,SAMOSTALNA LIBERALNA STRANKA - SLS,8,Novobërdë
