id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
1,0101C,0101C/01R,61,LËVIZJA VETËVENDOSJE!,9,Deçan
1,0101C,0101C/01R,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,155,Deçan
1,0101C,0101C/01R,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,96,Deçan
1,0101C,0101C/01R,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,14,Deçan
1,0101C,0101C/02R,61,LËVIZJA VETËVENDOSJE!,15,Deçan
1,0101C,0101C/02R,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,236,Deçan
1,0101C,0101C/02R,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,113,Deçan
1,0101C,0101C/02R,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,16,Deçan
1,0101C,0101C/03R,61,LËVIZJA VETËVENDOSJE!,18,Deçan
1,0101C,0101C/03R,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,244,Deçan
1,0101C,0101C/03R,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,48,Deçan
1,0101C,0101C/03R,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,9,Deçan
1,0101C,0101C/04R,61,LËVIZJA VETËVENDOSJE!,14,Deçan
1,0101C,0101C/04R,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,235,Deçan
1,0101C,0101C/04R,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,125,Deçan
1,0101C,0101C/04R,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,36,Deçan
1,0101C,0101C/05D,61,LËVIZJA VETËVENDOSJE!,7,Deçan
1,0101C,0101C/05D,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,97,Deçan
1,0101C,0101C/05D,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,81,Deçan
1,0101C,0101C/05D,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,20,Deçan
1,0101X,0101X/01R,61,LËVIZJA VETËVENDOSJE!,17,Deçan
1,0101X,0101X/01R,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,192,Deçan
1,0101X,0101X/01R,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,103,Deçan
1,0101X,0101X/01R,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,14,Deçan
1,0101X,0101X/02R,61,LËVIZJA VETËVENDOSJE!,14,Deçan
1,0101X,0101X/02R,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,275,Deçan
1,0101X,0101X/02R,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,87,Deçan
1,0101X,0101X/02R,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,13,Deçan
1,0101X,0101X/03R,61,LËVIZJA VETËVENDOSJE!,23,Deçan
