id,Candidate,Party_ID,Party,Acronym,Votes,Municipality
1,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,10434,Deçan
1,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,938,Deçan
1,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,2636,Deçan
1,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,97,Deçan
1,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,2133,Deçan
10,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,232,Kamenicë
10,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,1169,Kamenicë
10,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2553,Kamenicë
10,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,2695,Kamenicë
10,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,5970,Kamenicë
10,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,5102,Kamenicë
11,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,8393,Mitrovicë
11,BASRI BRAHIMI,14,BASRI BRAHIMI,,330,Mitrovicë
11,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,596,Mitrovicë
11,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,4885,Mitrovicë
11,FISNIK GJINAJ,56,FISNIK GJINAJ,,213,Mitrovicë
11,MEHMET MEHMETI,30,ALTERNATIVA,,187,Mitrovicë
11,NYSTRET PRETENI,46,FJALA,,188,Mitrovicë
11,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,357,Mitrovicë
11,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,6695,Mitrovicë
11,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,9119,Mitrovicë
12,DRAGAN JABLANOVIĆ,62,PKS - PARTIJA KOSOVSKIH SRBA,,2807,Leposaviq
12,NENAD RADOSAVLJEVIĆ,76,GI NARODNA PRAVDA,,166,Leposaviq
12,ZORAN TODIĆ,29,SRPSKA LISTA,,5105,Leposaviq
13,FITIM SELIMI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1876,Lipjan
13,HESET SAHITI,31,NISMA - NISMA PËR KOSOVËN,,1023,Lipjan
13,IMRI AHMETI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,17019,Lipjan
13,ISMET HAJRULLAHU,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6161,Lipjan
13,SELATIN RETKOCERI,10,LËVIZJA VETËVENDOSJE!,,2520,Lipjan
14,AVDULLA GASHI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,148,Novobërdë
14,BAJRUSH YMERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,1373,Novobërdë
14,FADIL GËRBESHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,248,Novobërdë
14,RAMUSH MEHMETI,34,AKR - ALEANCA KOSOVA E RE,,348,Novobërdë
14,SVETISLAV IVANOVIĆ,29,SRPSKA LISTA,,3097,Novobërdë
15,AZIZ BICI,10,LËVIZJA VETËVENDOSJE!,,945,Obiliq
15,MEHMET KRASNIQI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,3244,Obiliq
15,MEXHID KRASNIQI,31,NISMA - NISMA PËR KOSOVËN,,234,Obiliq
15,NYSRET KELMENDI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,1466,Obiliq
15,SHEMSEDIN HASHANI,34,AKR - ALEANCA KOSOVA E RE,,231,Obiliq
15,XHAFER GASHI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,5837,Obiliq
16,BESNIK HOTI,31,NISMA - NISMA PËR KOSOVËN,,295,Rahovec
16,IBRAHIM KRYEZIU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,4768,Rahovec
16,IDRIZ VEHAPI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6837,Rahovec
16,SMAJL LATIFI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,7766,Rahovec
16,VISAR KORENICA,10,LËVIZJA VETËVENDOSJE!,,3513,Rahovec
17,BASHKIM NURBOJA,10,LËVIZJA VETËVENDOSJE!,,2822,Pejë
17,ENEIDA KELMENDI,46,FJALA,,226,Pejë
