Candidate,Party_ID,Party,Acronym,Votes
ABDÜLHADİ KRASNİÇ,22,KDTP - KOSOVA DEMOKRATiK TÜRK PARTiSi,,1393
ABDULLAH VOJVODA,31,NISMA - NISMA PËR KOSOVËN,,852
ADEM BERISHA,10,LËVIZJA VETËVENDOSJE!,,3064
ADEM ZOGJANI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,1687
ADMIR ŠOLA,40,JGP - JEDINSTVENA GORANSKA PARTIJA,,1418
AGIM ALIU,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,19961
AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,8393
AGIM ÇAKA,31,NISMA - NISMA PËR KOSOVËN,,781
AGIM VELIU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,18872
AGRON AVDIJAJ,10,LËVIZJA VETËVENDOSJE!,,1591
AGRON KUÇI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1499
AHMET GRAJÇEVCI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,317
AJET POTERA,10,LËVIZJA VETËVENDOSJE!,,11671
ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,232
ALEKSANDAR ČOLIĆ,42,GI NOVI POĆETAK,,995
AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,1169
AMIR REXHEPI,34,AKR - ALEANCA KOSOVA E RE,,910
ARBAN ABRASHI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,31428
ARBER VLLAHIU,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2862
ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,17219
ARİF BÜTÜÇ,95,KTAP - KOSOVA TÜRK ADALET PARTiSi,,1129
ARIF ELSHANI,60,IQ INCIATIVA TË PAVARURIT E ISTOGUT,,484
ARTA AHMETI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,591
AVDULLA GASHI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,148
