id,Polling Center,Candidate,Party_ID,Party,Acronym,Votes,Municipality
1,0101C,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1064,Deçan
1,0101C,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,61,Deçan
1,0101C,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,224,Deçan
1,0101C,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,6,Deçan
1,0101C,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,153,Deçan
1,0101X,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1635,Deçan
1,0101X,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,78,Deçan
1,0101X,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,221,Deçan
1,0101X,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,13,Deçan
1,0101X,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,231,Deçan
1,0102C,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,988,Deçan
1,0102C,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,124,Deçan
1,0102C,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,618,Deçan
1,0102C,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,11,Deçan
1,0102C,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,134,Deçan
1,0103C,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,979,Deçan
1,0103C,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,41,Deçan
1,0103C,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,161,Deçan
1,0103C,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,0,Deçan
1,0103C,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,61,Deçan
1,0104C,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,427,Deçan
1,0104C,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,29,Deçan
1,0104C,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,140,Deçan
1,0104C,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,5,Deçan
1,0104C,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,109,Deçan
1,0105C,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,759,Deçan
1,0105C,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,72,Deçan
1,0105C,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,385,Deçan
1,0105C,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,6,Deçan
1,0105C,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,246,Deçan
1,0106C,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,725,Deçan
