id,Polling Center,Polling Station,Candidate,Party_ID,Party,Acronym,Votes,Municipality
1,0101C,0101C/01R,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,44,Deçan
1,0101C,0101C/04R,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,14,Deçan
1,0101C,0101C/01R,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,21,Deçan
1,0101C,0101C/04R,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,5,Deçan
1,0101C,0101C/01R,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,0,Deçan
1,0101C,0101C/04R,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,235,Deçan
1,0101C,0101C/03R,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,26,Deçan
1,0101C,0101C/02R,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,31,Deçan
1,0101C,0101C/02R,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,1,Deçan
1,0101C,0101C/04R,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,57,Deçan
1,0101C,0101C/02R,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,48,Deçan
1,0101C,0101C/05D,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,17,Deçan
1,0101C,0101C/05D,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,160,Deçan
1,0101C,0101C/01R,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,9,Deçan
1,0101C,0101C/05D,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,49,Deçan
1,0101C,0101C/04R,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,28,Deçan
1,0101C,0101C/03R,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,265,Deçan
1,0101C,0101C/02R,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,15,Deçan
1,0101C,0101C/05D,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,46,Deçan
