id,Candidate,Party_ID,Party,Votes,Municipality
1,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,298,Deçan
1,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,9843,Deçan
1,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,2919,Deçan
1,ISA ELEZAJ,130,ISA ELEZAJ,307,Deçan
1,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,1799,Deçan
2,ARBENESHA KUQI,177,PARTIA DEMOKRATIKE E KOSOVËS,1377,Gjakovë
2,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,18973,Gjakovë
2,FAZLI HOXHA,119,NISMA SOCIALDEMOKRATE,522,Gjakovë
2,FERDINAND KOLAJ,134,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,2837,Gjakovë
2,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,15426,Gjakovë
2,TEKI SHALA,160,LIDHJA DEMOKRATIKE E KOSOVËS,2330,Gjakovë
3,ANDUENA GLLAREVA,160,LIDHJA DEMOKRATIKE E KOSOVËS,11,Drenas
3,ARTA AHMETI-XHYLANI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,12,Drenas
3,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,453,Drenas
3,FEJZI KIQINA,144,LËVIZJA VETËVENDOSJE!,264,Drenas
3,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,436,Drenas
3,XHAVIT DRENORI,165,INICIATIVA QYTETARE GREEN PËR DRENAS,67,Drenas
3,ANDUENA GLLAREVA,160,LIDHJA DEMOKRATIKE E KOSOVËS,208,Drenas
3,ARTA AHMETI-XHYLANI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,399,Drenas
3,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,6531,Drenas
3,FEJZI KIQINA,144,LËVIZJA VETËVENDOSJE!,3652,Drenas
3,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,9983,Drenas
3,XHAVIT DRENORI,165,INICIATIVA QYTETARE GREEN PËR DRENAS,885,Drenas
4,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,19057,Gjilan
4,GANI NEZIRI,172,GANI NEZIRI,252,Gjilan
4,LEONORA MORINA-BUNJAKU,177,PARTIA DEMOKRATIKE E KOSOVËS,3518,Gjilan
4,LULZIM BEXHETI,168,LULZIM BEXHETI,206,Gjilan
