id,Polling Center,Candidate,Party_ID,Party,Votes,Municipality
1,0101C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,28,Deçan
1,0101C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,938,Deçan
1,0101C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,257,Deçan
1,0101C,ISA ELEZAJ,130,ISA ELEZAJ,15,Deçan
1,0101C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,133,Deçan
1,0101X,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,30,Deçan
1,0101X,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1447,Deçan
1,0101X,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,240,Deçan
1,0101X,ISA ELEZAJ,130,ISA ELEZAJ,28,Deçan
1,0101X,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,213,Deçan
1,0102C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,25,Deçan
1,0102C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1023,Deçan
1,0102C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,397,Deçan
1,0102C,ISA ELEZAJ,130,ISA ELEZAJ,24,Deçan
1,0102C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,155,Deçan
1,0103C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,10,Deçan
1,0103C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,882,Deçan
1,0103C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,140,Deçan
1,0103C,ISA ELEZAJ,130,ISA ELEZAJ,12,Deçan
1,0103C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,102,Deçan
1,0104C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,17,Deçan
1,0104C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,387,Deçan
1,0104C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,143,Deçan
1,0104C,ISA ELEZAJ,130,ISA ELEZAJ,32,Deçan
1,0104C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,115,Deçan
1,0105C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,17,Deçan
1,0105C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,698,Deçan
1,0105C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,439,Deçan
1,0105C,ISA ELEZAJ,130,ISA ELEZAJ,59,Deçan
1,0105C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,213,Deçan
1,0106C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,42,Deçan
1,0106C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,567,Deçan
1,0106C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,99,Deçan
1,0106C,ISA ELEZAJ,130,ISA ELEZAJ,25,Deçan
1,0106C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,69,Deçan
1,0107C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,3,Deçan
1,0107C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,570,Deçan
1,0107C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,49,Deçan
1,0107C,ISA ELEZAJ,130,ISA ELEZAJ,2,Deçan
1,0107C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,41,Deçan
1,0108C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,22,Deçan
1,0108C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,635,Deçan
1,0108C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,439,Deçan
1,0108C,ISA ELEZAJ,130,ISA ELEZAJ,52,Deçan
1,0108C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,263,Deçan
1,0110C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,17,Deçan
1,0110C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,683,Deçan
1,0110C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,152,Deçan
1,0110C,ISA ELEZAJ,130,ISA ELEZAJ,8,Deçan
1,0110C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,122,Deçan
1,0111C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,23,Deçan
1,0111C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,534,Deçan
1,0111C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,77,Deçan
1,0111C,ISA ELEZAJ,130,ISA ELEZAJ,16,Deçan
1,0111C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,76,Deçan
1,0112C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,10,Deçan
1,0112C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,276,Deçan
1,0112C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,50,Deçan
1,0112C,ISA ELEZAJ,130,ISA ELEZAJ,5,Deçan
1,0112C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,43,Deçan
1,0113C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,32,Deçan
1,0113C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,407,Deçan
1,0113C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,81,Deçan
1,0113C,ISA ELEZAJ,130,ISA ELEZAJ,3,Deçan
1,0113C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,67,Deçan
1,0114C,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,16,Deçan
1,0114C,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,421,Deçan
1,0114C,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,177,Deçan
1,0114C,ISA ELEZAJ,130,ISA ELEZAJ,20,Deçan
1,0114C,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,115,Deçan
1,BM001,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,1,Deçan
1,BM001,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,235,Deçan
1,BM001,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,153,Deçan
1,BM001,ISA ELEZAJ,130,ISA ELEZAJ,4,Deçan
1,BM001,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,35,Deçan
1,CB101,ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,5,Deçan
1,CB101,BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,140,Deçan
1,CB101,HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,26,Deçan
1,CB101,ISA ELEZAJ,130,ISA ELEZAJ,2,Deçan
1,CB101,ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,37,Deçan
2,0201C,ARBENESHA KUQI,177,PARTIA DEMOKRATIKE E KOSOVËS,67,Gjakovë
2,0201C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,943,Gjakovë
2,0201C,FAZLI HOXHA,119,NISMA SOCIALDEMOKRATE,25,Gjakovë
2,0201C,FERDINAND KOLAJ,134,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,55,Gjakovë
2,0201C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,1404,Gjakovë
2,0201C,TEKI SHALA,160,LIDHJA DEMOKRATIKE E KOSOVËS,63,Gjakovë
2,0202C,ARBENESHA KUQI,177,PARTIA DEMOKRATIKE E KOSOVËS,92,Gjakovë
2,0202C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1390,Gjakovë
2,0202C,FAZLI HOXHA,119,NISMA SOCIALDEMOKRATE,30,Gjakovë
2,0202C,FERDINAND KOLAJ,134,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,65,Gjakovë
2,0202C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,1960,Gjakovë
2,0202C,TEKI SHALA,160,LIDHJA DEMOKRATIKE E KOSOVËS,86,Gjakovë
2,0202X,ARBENESHA KUQI,177,PARTIA DEMOKRATIKE E KOSOVËS,103,Gjakovë
2,0202X,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,2085,Gjakovë
2,0202X,FAZLI HOXHA,119,NISMA SOCIALDEMOKRATE,71,Gjakovë
2,0202X,FERDINAND KOLAJ,134,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,152,Gjakovë
2,0202X,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,3332,Gjakovë
2,0202X,TEKI SHALA,160,LIDHJA DEMOKRATIKE E KOSOVËS,92,Gjakovë
2,0203C,ARBENESHA KUQI,177,PARTIA DEMOKRATIKE E KOSOVËS,36,Gjakovë
2,0203C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,693,Gjakovë
2,0203C,FAZLI HOXHA,119,NISMA SOCIALDEMOKRATE,26,Gjakovë
