Party_ID,Party,Votes
102,BALLI KOMBËTAR I KOSOVËS,99
103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,1866
108,PARTIA BALLISTE,189
109,INICIATIVA QYTETARE PËR OBILIQ,5975
112,PARTIA DEMOKRATIKE E UNITETIT,120
113,LISTA E PAVARUR BEKIM JASHARI,9236
114,JETON SALIHU,245
115,JUGOSLAV JOVANOVIĆ,76
116,INICIATIVA QYTETARE PËR SKENDERAJ,311
117,KOSOVA ADALET TÜRK PARTİSİ,1080
119,NISMA SOCIALDEMOKRATE,12233
121,ALEANCA PËR ARDHMËRINË E KOSOVËS,88990
123,KOALICIJA VAKAT,1593
126,İLYAS BAYRAKTAR,368
127,PARTIA SOCIALDEMOKRATE,5408
129,INICIATIVA QYTETARE BASHKË PËR ISTOGUN,573
130,ISA ELEZAJ,307
134,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,2837
137,SLADJANA PANTOVIĆ,86
138,SHUKRI LUTA,1157
140,LËVIZJA PËR BASHKIM,923
141,SELAJDIN BYTYҪI,78
144,LËVIZJA VETËVENDOSJE!,216556
145,GI SLOBODA ŠTRPCE,1113
147,SRPSKA LISTA,48750
149,ALEANCA KOSOVA E RE,2047
150,NOVA DEMOKRATSKA STRANKA,1736
152,NARODNO JEDINSTVO,436
154,ORGANIZATA BALLI KOMBËTAR DEMOKRAT,251
155,BRANIMIR STOJANOVIĆ,1843
156,INICIATIVA ERDEM,45
159,BASHKË PËR SHTËRPCËN,887
160,LIDHJA DEMOKRATIKE E KOSOVËS,189870
161,NARODNA SLOGA,475
163,RUFKI SUMA,2106
165,INICIATIVA QYTETARE GREEN PËR DRENAS,952
168,LULZIM BEXHETI,206
171,GANI VESELAJ,124
172,GANI NEZIRI,252
173,FJALA,155
176,XHAFER BYTYQI,174
177,PARTIA DEMOKRATIKE E KOSOVËS,180002
180,MILAZIM LUSHAJ,153
181,GRAĐANSKA INICIJATIVA ZUBIN POTOK,377
182,DEMOKRATËT PËR DRENASIN,6984
187,GI SRPSKA NARODNA SLOGA,699
188,KASTRIOT BUSHI,384
189,"INICIATIVA QYTETARE ""MITROVICA""",1056
