id,Polling Center,Party_ID,Party,Votes,Municipality
1,0101C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,938,Deçan
1,0101C,130,ISA ELEZAJ,15,Deçan
1,0101C,144,LËVIZJA VETËVENDOSJE!,133,Deçan
1,0101C,160,LIDHJA DEMOKRATIKE E KOSOVËS,257,Deçan
1,0101C,177,PARTIA DEMOKRATIKE E KOSOVËS,28,Deçan
1,0101X,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1447,Deçan
1,0101X,130,ISA ELEZAJ,28,Deçan
1,0101X,144,LËVIZJA VETËVENDOSJE!,213,Deçan
1,0101X,160,LIDHJA DEMOKRATIKE E KOSOVËS,240,Deçan
1,0101X,177,PARTIA DEMOKRATIKE E KOSOVËS,30,Deçan
1,0102C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1023,Deçan
1,0102C,130,ISA ELEZAJ,24,Deçan
1,0102C,144,LËVIZJA VETËVENDOSJE!,155,Deçan
1,0102C,160,LIDHJA DEMOKRATIKE E KOSOVËS,397,Deçan
1,0102C,177,PARTIA DEMOKRATIKE E KOSOVËS,25,Deçan
1,0103C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,882,Deçan
1,0103C,130,ISA ELEZAJ,12,Deçan
1,0103C,144,LËVIZJA VETËVENDOSJE!,102,Deçan
1,0103C,160,LIDHJA DEMOKRATIKE E KOSOVËS,140,Deçan
1,0103C,177,PARTIA DEMOKRATIKE E KOSOVËS,10,Deçan
1,0104C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,387,Deçan
1,0104C,130,ISA ELEZAJ,32,Deçan
1,0104C,144,LËVIZJA VETËVENDOSJE!,115,Deçan
1,0104C,160,LIDHJA DEMOKRATIKE E KOSOVËS,143,Deçan
1,0104C,177,PARTIA DEMOKRATIKE E KOSOVËS,17,Deçan
1,0105C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,698,Deçan
1,0105C,130,ISA ELEZAJ,59,Deçan
1,0105C,144,LËVIZJA VETËVENDOSJE!,213,Deçan
1,0105C,160,LIDHJA DEMOKRATIKE E KOSOVËS,439,Deçan
1,0105C,177,PARTIA DEMOKRATIKE E KOSOVËS,17,Deçan
1,0106C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,567,Deçan
1,0106C,130,ISA ELEZAJ,25,Deçan
1,0106C,144,LËVIZJA VETËVENDOSJE!,69,Deçan
1,0106C,160,LIDHJA DEMOKRATIKE E KOSOVËS,99,Deçan
1,0106C,177,PARTIA DEMOKRATIKE E KOSOVËS,42,Deçan
1,0107C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,570,Deçan
1,0107C,130,ISA ELEZAJ,2,Deçan
1,0107C,144,LËVIZJA VETËVENDOSJE!,41,Deçan
1,0107C,160,LIDHJA DEMOKRATIKE E KOSOVËS,49,Deçan
1,0107C,177,PARTIA DEMOKRATIKE E KOSOVËS,3,Deçan
1,0108C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,635,Deçan
1,0108C,130,ISA ELEZAJ,52,Deçan
1,0108C,144,LËVIZJA VETËVENDOSJE!,263,Deçan
1,0108C,160,LIDHJA DEMOKRATIKE E KOSOVËS,439,Deçan
