id,Party_ID,Party,Votes,Municipality
2,30,ALTERNATIVA,19152,Gjakovë
2,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,21999,Gjakovë
4,10,LËVIZJA VETËVENDOSJE!,12057,Gjilan
4,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,21261,Gjilan
5,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6303,Dragash
5,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6579,Dragash
6,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,9380,Istog
6,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,10051,Istog
7,10,LËVIZJA VETËVENDOSJE!,5609,Kaçanik
7,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6782,Kaçanik
8,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,8397,Klinë
8,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,7869,Klinë
10,10,LËVIZJA VETËVENDOSJE!,8764,Kamenicë
10,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,7006,Kamenicë
11,34,AKR - ALEANCA KOSOVA E RE,16509,Mitrovicë
11,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,12245,Mitrovicë
15,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4155,Obiliq
15,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,6370,Obiliq
16,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,10561,Rahovec
16,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,10271,Rahovec
18,10,LËVIZJA VETËVENDOSJE!,11373,Podujevë
18,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,20027,Podujevë
19,10,LËVIZJA VETËVENDOSJE!,42262,Prishtinë
19,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,41897,Prishtinë
20,10,LËVIZJA VETËVENDOSJE!,25949,Prizren
20,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,25577,Prizren
22,54,FATMIR  RASHITI,5861,Shtime
22,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6252,Shtime
24,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,12410,Suharekë
24,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,13755,Suharekë
25,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,19016,Ferizaj
25,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,24384,Ferizaj
27,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,15122,Vushtrri
27,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,12758,Vushtrri
30,31,NISMA - NISMA PËR KOSOVËN,10868,Malishevë
30,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,8607,Malishevë
36,29,SRPSKA LISTA,1331,Partesh
36,67,GI GRA?ANSKA INICIJATIVA NARODNA SLOGA,818,Partesh
37,29,SRPSKA LISTA,1032,Kllokot
37,41,GI KLOKOT-VRBOVAC,1042,Kllokot
