id,Polling Center,Party_ID,Party,Votes,Municipality
2,0201C,30,ALTERNATIVA,1958,Gjakovë
2,0201C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,903,Gjakovë
2,0202C,30,ALTERNATIVA,2696,Gjakovë
2,0202C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,1338,Gjakovë
2,0202X,30,ALTERNATIVA,4495,Gjakovë
2,0202X,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,2066,Gjakovë
2,0203C,30,ALTERNATIVA,1425,Gjakovë
2,0203C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,614,Gjakovë
2,0203X,30,ALTERNATIVA,1257,Gjakovë
2,0203X,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,477,Gjakovë
2,0204C,30,ALTERNATIVA,1921,Gjakovë
2,0204C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,716,Gjakovë
2,0205C,30,ALTERNATIVA,2450,Gjakovë
2,0205C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,1343,Gjakovë
2,0206C,30,ALTERNATIVA,53,Gjakovë
2,0206C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,415,Gjakovë
2,0207C,30,ALTERNATIVA,129,Gjakovë
2,0207C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,711,Gjakovë
2,0208C,30,ALTERNATIVA,104,Gjakovë
2,0208C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,806,Gjakovë
2,0209C,30,ALTERNATIVA,44,Gjakovë
2,0209C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,306,Gjakovë
2,0210C,30,ALTERNATIVA,111,Gjakovë
2,0210C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,714,Gjakovë
2,0211C,30,ALTERNATIVA,131,Gjakovë
2,0211C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,362,Gjakovë
2,0212C,30,ALTERNATIVA,506,Gjakovë
2,0212C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,968,Gjakovë
2,0213C,30,ALTERNATIVA,60,Gjakovë
2,0213C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,417,Gjakovë
2,0214C,30,ALTERNATIVA,147,Gjakovë
2,0214C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,766,Gjakovë
2,0215C,30,ALTERNATIVA,95,Gjakovë
2,0215C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,626,Gjakovë
2,0216C,30,ALTERNATIVA,79,Gjakovë
2,0216C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,515,Gjakovë
2,0217C,30,ALTERNATIVA,14,Gjakovë
2,0217C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,155,Gjakovë
2,0218C,30,ALTERNATIVA,78,Gjakovë
2,0218C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,217,Gjakovë
2,0219C,30,ALTERNATIVA,46,Gjakovë
2,0219C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,451,Gjakovë
2,0220C,30,ALTERNATIVA,31,Gjakovë
2,0220C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,359,Gjakovë
2,0221C,30,ALTERNATIVA,71,Gjakovë
2,0221C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,590,Gjakovë
2,0222C,30,ALTERNATIVA,138,Gjakovë
2,0222C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,635,Gjakovë
2,0223C,30,ALTERNATIVA,185,Gjakovë
2,0223C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,537,Gjakovë
2,0224C,30,ALTERNATIVA,96,Gjakovë
2,0224C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,517,Gjakovë
2,0225C,30,ALTERNATIVA,80,Gjakovë
2,0225C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,1218,Gjakovë
2,0226C,30,ALTERNATIVA,109,Gjakovë
2,0226C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,774,Gjakovë
2,0227C,30,ALTERNATIVA,61,Gjakovë
2,0227C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,365,Gjakovë
2,0228C,30,ALTERNATIVA,63,Gjakovë
2,0228C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,345,Gjakovë
2,0229C,30,ALTERNATIVA,69,Gjakovë
2,0229C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,451,Gjakovë
2,0230C,30,ALTERNATIVA,14,Gjakovë
2,0230C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,252,Gjakovë
2,0231C,30,ALTERNATIVA,47,Gjakovë
2,0231C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,356,Gjakovë
2,0232C,30,ALTERNATIVA,28,Gjakovë
2,0232C,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,322,Gjakovë
2,BM102,30,ALTERNATIVA,28,Gjakovë
2,BM102,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,4,Gjakovë
2,CB102,30,ALTERNATIVA,333,Gjakovë
2,CB102,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,388,Gjakovë
4,0401D,10,LËVIZJA VETËVENDOSJE!,2120,Gjilan
4,0401D,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,3251,Gjilan
