id,Candidate,Party_ID,Party,Votes,Municipality
2,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,20796,Gjakovë
2,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,16358,Gjakovë
3,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,10076,Drenas
3,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,11904,Drenas
4,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,21800,Gjilan
4,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,20865,Gjilan
5,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,6192,Dragash
5,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,5912,Dragash
6,BEKE BERISHA,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,7573,Istog
6,ILIR FERATI,160,LIDHJA DEMOKRATIKE E KOSOVËS,9700,Istog
7,BESIM ILAZI,177,PARTIA DEMOKRATIKE E KOSOVËS,7373,Kaçanik
7,JETON RAKA,144,LËVIZJA VETËVENDOSJE!,6304,Kaçanik
8,ESAT RACI,177,PARTIA DEMOKRATIKE E KOSOVËS,6483,Klinë
8,ZENUN ELEZAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,7974,Klinë
9,BURIM BERISHA,160,LIDHJA DEMOKRATIKE E KOSOVËS,7978,Fushë Kosovë
9,ENVER BAJCINCA,144,LËVIZJA VETËVENDOSJE!,4212,Fushë Kosovë
10,KADRI RAHIMAJ,144,LËVIZJA VETËVENDOSJE!,8284,Kamenicë
10,QENDRON KASTRATI,127,PARTIA SOCIALDEMOKRATE,7248,Kamenicë
15,HALIL THACI,144,LËVIZJA VETËVENDOSJE!,4117,Obiliq
15,XHAFER GASHI,109,INICIATIVA QYTETARE PËR OBILIQ,6522,Obiliq
16,SMAJL LATIFI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,11575,Rahovec
16,VISAR KORENICA,144,LËVIZJA VETËVENDOSJE!,6180,Rahovec
18,EKREM HYSENI,160,LIDHJA DEMOKRATIKE E KOSOVËS,19141,Podujevë
18,SHPEJTIM BULLIQI,144,LËVIZJA VETËVENDOSJE!,20788,Podujevë
19,ARBEN VITIA,144,LËVIZJA VETËVENDOSJE!,40143,Prishtinë
19,PERPARIM RAMA,160,LIDHJA DEMOKRATIKE E KOSOVËS,41746,Prishtinë
20,MYTAHER HASKUKA,144,LËVIZJA VETËVENDOSJE!,26680,Prizren
20,SHAQIR TOTAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,27689,Prizren
22,NAIM ISMAJLI,177,PARTIA DEMOKRATIKE E KOSOVËS,6844,Shtime
22,QEMAJL ALIU,144,LËVIZJA VETËVENDOSJE!,7029,Shtime
26,ARSIM ADEMI,144,LËVIZJA VETËVENDOSJE!,8303,Viti
26,SOKOL HALITI,160,LIDHJA DEMOKRATIKE E KOSOVËS,8797,Viti
27,FERIT IDRIZI,177,PARTIA DEMOKRATIKE E KOSOVËS,13414,Vushtrri
27,XHAFER TAHIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,11806,Vushtrri
30,EKREM KASTRATI,119,NISMA SOCIALDEMOKRATE,10572,Malishevë
30,ISNI KILAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,9337,Malishevë
31,AGRON KUCI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1424,Junik
31,RUZHDI SHEHU,160,LIDHJA DEMOKRATIKE E KOSOVËS,1658,Junik
32,ABDULHADI KRASNIC,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,1629,Mamushë
32,ARIF BUTUC,117,KOSOVA ADALET TÜRK PARTİSİ,949,Mamushë
37,STRAHINJA SPASIC,187,GI SRPSKA NARODNA SLOGA,838,Kllokot
37,VLADAN BOGDANOVIC,147,SRPSKA LISTA,1029,Kllokot
