Candidate,Party_ID,Party,Votes
ABDULHADI KRASNIC,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,1629
AGRON KUCI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1424
ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,21800
ARBEN VITIA,144,LËVIZJA VETËVENDOSJE!,40143
ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,20796
ARIF BUTUC,117,KOSOVA ADALET TÜRK PARTİSİ,949
ARSIM ADEMI,144,LËVIZJA VETËVENDOSJE!,8303
BEKE BERISHA,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,7573
BESIM ILAZI,177,PARTIA DEMOKRATIKE E KOSOVËS,7373
BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,6192
BURIM BERISHA,160,LIDHJA DEMOKRATIKE E KOSOVËS,7978
DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,10076
EKREM HYSENI,160,LIDHJA DEMOKRATIKE E KOSOVËS,19141
EKREM KASTRATI,119,NISMA SOCIALDEMOKRATE,10572
ENVER BAJCINCA,144,LËVIZJA VETËVENDOSJE!,4212
ESAT RACI,177,PARTIA DEMOKRATIKE E KOSOVËS,6483
FERIT IDRIZI,177,PARTIA DEMOKRATIKE E KOSOVËS,13414
HALIL THACI,144,LËVIZJA VETËVENDOSJE!,4117
ILIR FERATI,160,LIDHJA DEMOKRATIKE E KOSOVËS,9700
ISNI KILAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,9337
JETON RAKA,144,LËVIZJA VETËVENDOSJE!,6304
KADRI RAHIMAJ,144,LËVIZJA VETËVENDOSJE!,8284
LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,20865
MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,16358
MYTAHER HASKUKA,144,LËVIZJA VETËVENDOSJE!,26680
NAIM ISMAJLI,177,PARTIA DEMOKRATIKE E KOSOVËS,6844
PERPARIM RAMA,160,LIDHJA DEMOKRATIKE E KOSOVËS,41746
QEMAJL ALIU,144,LËVIZJA VETËVENDOSJE!,7029
QENDRON KASTRATI,127,PARTIA SOCIALDEMOKRATE,7248
RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,11904
RUZHDI SHEHU,160,LIDHJA DEMOKRATIKE E KOSOVËS,1658
SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,5912
SHAQIR TOTAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,27689
SHPEJTIM BULLIQI,144,LËVIZJA VETËVENDOSJE!,20788
SMAJL LATIFI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,11575
SOKOL HALITI,160,LIDHJA DEMOKRATIKE E KOSOVËS,8797
STRAHINJA SPASIC,187,GI SRPSKA NARODNA SLOGA,838
VISAR KORENICA,144,LËVIZJA VETËVENDOSJE!,6180
VLADAN BOGDANOVIC,147,SRPSKA LISTA,1029
XHAFER GASHI,109,INICIATIVA QYTETARE PËR OBILIQ,6522
XHAFER TAHIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,11806
ZENUN ELEZAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,7974
