id,Polling Center,Candidate,Party_ID,Party,Votes,Municipality
2,0201C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,915,Gjakovë
2,0201C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,1516,Gjakovë
2,0202C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1332,Gjakovë
2,0202C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,2142,Gjakovë
2,0202X,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,2029,Gjakovë
2,0202X,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,3522,Gjakovë
2,0203C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,683,Gjakovë
2,0203C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,1196,Gjakovë
2,0203X,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,582,Gjakovë
2,0203X,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,1051,Gjakovë
2,0204C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1001,Gjakovë
2,0204C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,1718,Gjakovë
2,0205C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1359,Gjakovë
2,0205C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,2086,Gjakovë
2,0206C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,293,Gjakovë
2,0206C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,153,Gjakovë
2,0207C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,568,Gjakovë
2,0207C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,139,Gjakovë
2,0208C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,715,Gjakovë
2,0208C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,92,Gjakovë
2,0209C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,300,Gjakovë
2,0209C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,39,Gjakovë
2,0210C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,576,Gjakovë
2,0210C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,162,Gjakovë
2,0211C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,365,Gjakovë
2,0211C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,56,Gjakovë
2,0212C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,620,Gjakovë
2,0212C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,400,Gjakovë
2,0213C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,506,Gjakovë
2,0213C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,96,Gjakovë
2,0214C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,776,Gjakovë
2,0214C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,103,Gjakovë
2,0215C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,525,Gjakovë
2,0215C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,126,Gjakovë
2,0216C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,496,Gjakovë
2,0216C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,54,Gjakovë
2,0217C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,132,Gjakovë
2,0217C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,34,Gjakovë
2,0218C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,321,Gjakovë
2,0218C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,30,Gjakovë
2,0219C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,441,Gjakovë
2,0219C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,35,Gjakovë
2,0220C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,315,Gjakovë
2,0220C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,25,Gjakovë
2,0221C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,492,Gjakovë
2,0221C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,95,Gjakovë
2,0222C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,687,Gjakovë
2,0222C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,118,Gjakovë
2,0223C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,486,Gjakovë
2,0223C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,153,Gjakovë
2,0224C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,467,Gjakovë
2,0224C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,72,Gjakovë
2,0225C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,945,Gjakovë
2,0225C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,154,Gjakovë
2,0226C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,537,Gjakovë
2,0226C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,181,Gjakovë
2,0227C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,284,Gjakovë
2,0227C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,58,Gjakovë
2,0228C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,300,Gjakovë
2,0228C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,71,Gjakovë
2,0229C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,385,Gjakovë
2,0229C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,79,Gjakovë
2,0230C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,233,Gjakovë
2,0230C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,20,Gjakovë
2,0231C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,307,Gjakovë
2,0231C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,70,Gjakovë
2,0232C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,270,Gjakovë
2,0232C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,27,Gjakovë
2,BM002,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,74,Gjakovë
2,BM002,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,82,Gjakovë
2,CB102,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,479,Gjakovë
