id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
2,0201C,0201C/03R,144,LËVIZJA VETËVENDOSJE!,203,Gjakovë
2,0201C,0201C/06R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,115,Gjakovë
2,0201C,0201C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,134,Gjakovë
2,0201C,0201C/04R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,139,Gjakovë
2,0201C,0201C/01R,144,LËVIZJA VETËVENDOSJE!,177,Gjakovë
2,0201C,0201C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,137,Gjakovë
2,0201C,0201C/02R,144,LËVIZJA VETËVENDOSJE!,262,Gjakovë
2,0201C,0201C/05R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,146,Gjakovë
2,0201C,0201C/04R,144,LËVIZJA VETËVENDOSJE!,218,Gjakovë
2,0201C,0201C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,129,Gjakovë
2,0201C,0201C/07D,144,LËVIZJA VETËVENDOSJE!,244,Gjakovë
2,0201C,0201C/05R,144,LËVIZJA VETËVENDOSJE!,181,Gjakovë
2,0201C,0201C/06R,144,LËVIZJA VETËVENDOSJE!,231,Gjakovë
2,0201C,0201C/07D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,115,Gjakovë
2,0202C,0202C/05R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,107,Gjakovë
2,0202C,0202C/09R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,156,Gjakovë
2,0202C,0202C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,134,Gjakovë
2,0202C,0202C/04R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,131,Gjakovë
2,0202C,0202C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,125,Gjakovë
2,0202C,0202C/10R,144,LËVIZJA VETËVENDOSJE!,200,Gjakovë
