id,Party_ID,Party,Votes,Municipality
1,31,PARTIA LIBERALE EGJIPTIANE,33,Deçan
1,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,14,Deçan
1,33,PROGRESIVNA DEMOKRATSKA STRANKA,2,Deçan
1,34,PARTIA ROME E BASHKUAR E KOSOVËS,8,Deçan
1,35,LËVIZJA VETËVENDOSJE!,735,Deçan
1,36,KOALICIJA VAKAT,6,Deçan
1,37,PARTIA E FORTË,8,Deçan
1,38,SRPSKA LISTA,0,Deçan
1,42,KOSOVAKI NEVI ROMANI PARTIA,1,Deçan
1,43,BOŠNJAČKA JEDINSTVENA LISTA,11,Deçan
1,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,7399,Deçan
1,45,HASAN GASHI,24,Deçan
1,46,NOVA DEMOKRATSKA STRANKA,3,Deçan
1,47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,6,Deçan
1,48,KOALICIJA ZA GORA,1,Deçan
1,49,PARTIA E ASHKALINJEVE PER INTEGRIM,0,Deçan
1,50,STRANKA DEMOKRATSKE AKCIJE,3,Deçan
1,51,CENTAR DEMOKRATSKE UNIJE,1,Deçan
1,39,POKRET ZA DEMOKRATSKI PROSPERITET,3,Deçan
1,40,ALEANCA KOSOVA E RE,147,Deçan
1,41,SOCIJALDEMOKRATIJA,5,Deçan
1,55,POKRET ZA GORA,5,Deçan
1,56,SAMOSTALNA LIBERALNA STRANKA,2,Deçan
1,57,KOSOVA DEMOKRATIK TÜRK PARTISI,2,Deçan
1,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,1996,Deçan
1,59,NISMA PËR KOSOVËN,161,Deçan
1,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,0,Deçan
1,52,KOSOVA TÜRK ADALET PARTISI,3,Deçan
1,53,BOŠNJAČKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,10,Deçan
1,54,LIDHJA DEMOKRATIKE E KOSOVËS,3865,Deçan
10,48,KOALICIJA ZA GORA,11,Kamenicë
10,45,HASAN GASHI,9,Kamenicë
10,46,NOVA DEMOKRATSKA STRANKA,1,Kamenicë
10,47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,3,Kamenicë
10,39,POKRET ZA DEMOKRATSKI PROSPERITET,87,Kamenicë
10,40,ALEANCA KOSOVA E RE,2100,Kamenicë
10,41,SOCIJALDEMOKRATIJA,5,Kamenicë
10,42,KOSOVAKI NEVI ROMANI PARTIA,2,Kamenicë
10,43,BOŠNJAČKA JEDINSTVENA LISTA,4,Kamenicë
10,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,1849,Kamenicë
10,31,PARTIA LIBERALE EGJIPTIANE,11,Kamenicë
10,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,31,Kamenicë
10,33,PROGRESIVNA DEMOKRATSKA STRANKA,334,Kamenicë
10,34,PARTIA ROME E BASHKUAR E KOSOVËS,13,Kamenicë
10,35,LËVIZJA VETËVENDOSJE!,2581,Kamenicë
10,36,KOALICIJA VAKAT,19,Kamenicë
10,37,PARTIA E FORTË,16,Kamenicë
10,38,SRPSKA LISTA,780,Kamenicë
10,50,STRANKA DEMOKRATSKE AKCIJE,3,Kamenicë
10,51,CENTAR DEMOKRATSKE UNIJE,0,Kamenicë
10,52,KOSOVA TÜRK ADALET PARTISI,2,Kamenicë
10,53,BOŠNJAČKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,0,Kamenicë
10,54,LIDHJA DEMOKRATIKE E KOSOVËS,2966,Kamenicë
10,55,POKRET ZA GORA,3,Kamenicë
10,56,SAMOSTALNA LIBERALNA STRANKA,1,Kamenicë
10,57,KOSOVA DEMOKRATIK TÜRK PARTISI,28,Kamenicë
10,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,3951,Kamenicë
10,59,NISMA PËR KOSOVËN,378,Kamenicë
10,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,2,Kamenicë
10,49,PARTIA E ASHKALINJEVE PER INTEGRIM,6,Kamenicë
11,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,2,Mitrovicë
11,49,PARTIA E ASHKALINJEVE PER INTEGRIM,57,Mitrovicë
11,50,STRANKA DEMOKRATSKE AKCIJE,63,Mitrovicë
11,51,CENTAR DEMOKRATSKE UNIJE,5,Mitrovicë
