id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
1,ABDELNASER ÇUNI,M,19,FJALA,,2,Deçan
1,ABDIRAMAN ZULJI,M,22,NOVA DEMOKRATSKA STRANKA,,0,Deçan
1,ABDÜLHADİ KRASNİÇ,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,0,Deçan
1,ABDYL SALIHU,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,73,Deçan
1,ABDYL YMERI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,24,Deçan
1,ADEA BATUSHA,F,25,Lëvizja VETËVENDOSJE!,,55,Deçan
1,ADEL JONUZI,M,22,NOVA DEMOKRATSKA STRANKA,,0,Deçan
1,ADEM HODŽA,M,1,JEDINSTVENA GORANSKA PARTIJA,,5,Deçan
1,ADEM HOTI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1,Deçan
1,ADEM MIKULLOVCI,M,25,Lëvizja VETËVENDOSJE!,,107,Deçan
1,ADEM ULLURI,M,18,PARTIA DEMOKRATIKE E UNITETIT,,4,Deçan
1,ADIS SALAJI,M,20,KOALICIJA VAKAT,,0,Deçan
1,ADMIR MAMUTI,M,20,KOALICIJA VAKAT,,0,Deçan
1,ADMIR MEHMETI,M,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,0,Deçan
1,AFËRDITA MORINA-BIFFAR,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,4,Deçan
1,AFIT ZULJI,M,20,KOALICIJA VAKAT,,1,Deçan
1,AFRIM LIMANI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1,Deçan
1,AFRIM MISINI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,1,Deçan
1,AGIM ADEMAJ,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,52,Deçan
1,AGIM ALIU,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,14,Deçan
1,AGIM BAHTIRI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,46,Deçan
1,AGIM BYTYQI,M,18,PARTIA DEMOKRATIKE E UNITETIT,,0,Deçan
1,AGIM HADŽI,M,5,GRAĐANSKA INICIJATIVA GORE,,2,Deçan
1,AGIM HYSENI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1,Deçan
1,AGIM KRASNIQI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,10,Deçan
1,AGIM MIFTARI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Deçan
1,AGIM NEZA,M,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,0,Deçan
1,AGNESA MULOLLI,F,19,FJALA,,0,Deçan
1,AGRON BERISHA,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Deçan
1,AGRON SINANAJ,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1,Deçan
1,AGRON ZENUNAJ,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Deçan
1,AHMET HAXHIMEHMET,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,0,Deçan
1,AHMET ISUFI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,163,Deçan
1,AHMET SIJARIĆ,M,22,NOVA DEMOKRATSKA STRANKA,,0,Deçan
1,AIDA DËRGUTI,F,25,Lëvizja VETËVENDOSJE!,,216,Deçan
1,AISHA GUSINAC,F,22,NOVA DEMOKRATSKA STRANKA,,0,Deçan
1,AJET POTERA,M,25,Lëvizja VETËVENDOSJE!,,8,Deçan
1,AJET SMAJLI,M,18,PARTIA DEMOKRATIKE E UNITETIT,,0,Deçan
1,ALBANA FETOSHI,F,25,Lëvizja VETËVENDOSJE!,,5,Deçan
1,ALBANA GASHI,F,25,Lëvizja VETËVENDOSJE!,,3,Deçan
1,ALBANA HOTI LAKNA,F,19,FJALA,,1,Deçan
1,ALBENA RESHITAJ,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,76,Deçan
1,ALBERT LILA,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,65,Deçan
1,ALBERT ZEKAJ,M,19,FJALA,,5,Deçan
1,ALBIN KURTI,M,25,Lëvizja VETËVENDOSJE!,,1019,Deçan
1,ALBULENA BALAJ HALIMAJ,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,69,Deçan
1,ALBULENA HAXHIU,F,25,Lëvizja VETËVENDOSJE!,,217,Deçan
1,ALBULENA MULOLLI,F,19,FJALA,,0,Deçan
1,ALEKSANDAR ČANOVIĆ,M,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,,0,Deçan
1,ALEKSANDAR GRUJIĆ,M,13,NAPREDNA SNAGA KOSOVA,,0,Deçan
1,ALEKSANDAR JABLANOVIĆ,M,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,,0,Deçan
1,ALEKSANDRA ĐEKIĆ,F,11,SAMOSTALNA LIBERALNA STRANKA,,0,Deçan
1,ALEKSANDRA DRAGOVIC,F,8,PROGRESIVNA DEMOKRATSKA STRANKA,,0,Deçan
1,ALEKSANDRA PERIC,F,11,SAMOSTALNA LIBERALNA STRANKA,,0,Deçan
1,ALI BERISHA,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,455,Deçan
1,ALI GASHI,M,14,PARTIA LIBERALE EGJIPTIANE,,0,Deçan
1,ALI ISMAJLI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Deçan
1,ALI LAJÇI,M,25,Lëvizja VETËVENDOSJE!,,61,Deçan
1,ALI MORINA,M,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,0,Deçan
1,ALI SADRIU,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,20,Deçan
1,ALI SINANI,M,14,PARTIA LIBERALE EGJIPTIANE,,0,Deçan
