Party_ID,Party,Votes
1,JEDINSTVENA GORANSKA PARTIJA,2369
2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,245627
3,PARTIA E ASHKALINJËVE PËR INTEGRIM,2107
4,G I EROMENDJE ALTERNATIVA,244
5,GRAĐANSKA INICIJATIVA GORE,813
6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,185884
7,POKRET ZA GORA,1020
8,PROGRESIVNA DEMOKRATSKA STRANKA,1698
9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,2425
10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1521
11,SAMOSTALNA LIBERALNA STRANKA,3540
12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,44499
13,NAPREDNA SNAGA KOSOVA,227
14,PARTIA LIBERALE EGJIPTIANE  %,2415
15,PARTIA LIBERALE EGJIPTIANE,951
16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,7852
17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,2126
18,PARTIA DEMOKRATIKE E UNITETIT,478
19,FJALA,7992
20,KOALICIJA VAKAT,6443
21,GI. ZA PROSPERITET KOSOVA,311
22,NOVA DEMOKRATSKA STRANKA,3652
23,KOSOVA TÜRK ADALET PARTISI,1347
24,KOALICIJA SDA,1355
25,Lëvizja VETËVENDOSJE!,200135
26,PARTIA ROME E BASHKUAR E KOSOVËS,955
