id,Polling Center,Party_ID,Party,Votes,Municipality
1,0101C,1,JEDINSTVENA GORANSKA PARTIJA,0,Deçan
1,0101C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,1043,Deçan
1,0101C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,3,Deçan
1,0101C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0101C,5,GRAĐANSKA INICIJATIVA GORE,0,Deçan
1,0101C,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,248,Deçan
1,0101C,7,POKRET ZA GORA,0,Deçan
1,0101C,8,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0101C,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,1,Deçan
1,0101C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,Deçan
1,0101C,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0101C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0101C,13,NAPREDNA SNAGA KOSOVA,0,Deçan
1,0101C,14,PARTIA LIBERALE EGJIPTIANE  %,0,Deçan
1,0101C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0101C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0101C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0101C,18,PARTIA DEMOKRATIKE E UNITETIT,2,Deçan
1,0101C,19,FJALA,11,Deçan
1,0101C,20,KOALICIJA VAKAT,0,Deçan
1,0101C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0101C,22,NOVA DEMOKRATSKA STRANKA,0,Deçan
1,0101C,23,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0101C,24,KOALICIJA SDA,2,Deçan
1,0101C,25,Lëvizja VETËVENDOSJE!,128,Deçan
1,0101C,26,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0101X,1,JEDINSTVENA GORANSKA PARTIJA,9,Deçan
1,0101X,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,1537,Deçan
1,0101X,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,1,Deçan
1,0101X,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0101X,5,GRAĐANSKA INICIJATIVA GORE,2,Deçan
1,0101X,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,294,Deçan
1,0101X,7,POKRET ZA GORA,1,Deçan
1,0101X,8,PROGRESIVNA DEMOKRATSKA STRANKA,2,Deçan
1,0101X,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,1,Deçan
1,0101X,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,Deçan
1,0101X,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0101X,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0101X,13,NAPREDNA SNAGA KOSOVA,1,Deçan
1,0101X,14,PARTIA LIBERALE EGJIPTIANE  %,1,Deçan
1,0101X,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0101X,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0101X,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0101X,18,PARTIA DEMOKRATIKE E UNITETIT,4,Deçan
1,0101X,19,FJALA,8,Deçan
1,0101X,20,KOALICIJA VAKAT,0,Deçan
1,0101X,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0101X,22,NOVA DEMOKRATSKA STRANKA,0,Deçan
