Candidate,Gender,Party_ID,Party,Acronym,Votes
ABDELNASER ÇUNI,M,15,FJALA,,103
ABDULLAH MEHMETI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,324
ABDULLAH VOJVODA,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,590
ABELARD TAHIRI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,14726
ADELINA BERISHA,F,15,FJALA,,50
ADEM ABAZAJ,M,1,PARTIA LIBERALE EGJIPTIANE,,349
ADEM HODŽA,M,13,JEDINSTVENA GORANSKA PARTIJA,,639
ADEM QEMALI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,473
ADEM SALIHAJ,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,5882
ADMIR PALIÇKO,M,20,KOSOVAKI NEVI ROMANI PARTIA,,44
ADNAN DEMIRI,M,14,KOALICIJA VAKAT,,369
ADNAN REDŽEPLAR,M,14,KOALICIJA VAKAT,,901
ADRIANA ABAZI,F,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,30
AFERDITA GJONBALAJ-STUBLLA,F,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,443
AFIT ZULJI,M,14,KOALICIJA VAKAT,,295
AFRIM BEKTESHI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,1591
AFRIM HOTI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,4218
AFRIM MISINI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,218
AFRIM TEJECI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,326
AFRORE MAZREKU,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,602
AGIM ÇAKA,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,789
AGIM HYSENI,M,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,181
AGIM KRASNIQI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,615
AGIM MIFTARI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,167
AGIM SOPI,M,16,LËVIZJA VETËVENDOSJE!,,1763
AGNESA HAJREDINI,F,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,879
AGON BATUSHA,M,16,LËVIZJA VETËVENDOSJE!,,9332
AGRON AVDIJAJ,M,16,LËVIZJA VETËVENDOSJE!,,2598
AGRON ZENUNAJ,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,79
AHMED ZEČIROVIĆ,M,8,NOVA DEMOKRATSKA STRANKA,,562
AHMET ISUFI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,3894
AHMET SIJARIĆ,M,8,NOVA DEMOKRATSKA STRANKA,,44
AIDA RUSHITI,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,546
AJET POTERA,M,16,LËVIZJA VETËVENDOSJE!,,6504
AJHAN ÇIGTEKIN,F,15,FJALA,,15
AJNISHA SHEHU,F,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,46
ALBAN HOTI,M,19,PARTIA EUROATLANTIKE E KOSOVËS,,49
ALBAN HYSENI,M,16,LËVIZJA VETËVENDOSJE!,,7767
ALBAN KRASNIQI,M,19,PARTIA EUROATLANTIKE E KOSOVËS,,73
ALBANA BYTYQI,F,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,2392
ALBANA GASHI,F,16,LËVIZJA VETËVENDOSJE!,,3661
ALBANE RAISHTAJ,F,1,PARTIA LIBERALE EGJIPTIANE,,91
ALBENA RESHITAJ,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,6018
ALBERINA SEFERAJ,F,1,PARTIA LIBERALE EGJIPTIANE,,82
ALBERT KINOLLI,M,18,PARTIA ROME E BASHKUAR E KOSOVËS,,675
ALBERT SERMAXHAJ,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,545
