id,Party_ID,Party,Acronym,Votes,Municipality
1,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,8,Deçan
1,7,POKRET ZA GORA,,1,Deçan
1,8,NOVA DEMOKRATSKA STRANKA,,11,Deçan
1,9,AAK-PSD KOALICIONI 100% KOSOVË,,10288,Deçan
1,1,PARTIA LIBERALE EGJIPTIANE,,42,Deçan
1,2,PARTIA DEMOKRATIKE E KOSOVËS,,872,Deçan
1,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,7,Deçan
1,4,STRANKA DEMOKRATSKE AKCIJE,,8,Deçan
1,5,PARTIJA KOSOVSKIH SRBA,,2,Deçan
1,19,PARTIA EUROATLANTIKE E KOSOVËS,,14,Deçan
1,20,KOSOVAKI NEVI ROMANI PARTIA,,0,Deçan
1,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,4,Deçan
1,22,ESMIR KASI,,2,Deçan
1,10,SLOBODA,,2,Deçan
1,11,SAMOSTALNA LIBERALNA STRANKA,,2,Deçan
1,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,280,Deçan
1,13,JEDINSTVENA GORANSKA PARTIJA,,0,Deçan
1,14,KOALICIJA VAKAT,,2,Deçan
1,15,FJALA,,19,Deçan
1,16,LËVIZJA VETËVENDOSJE!,,1143,Deçan
1,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,0,Deçan
1,18,PARTIA ROME E BASHKUAR E KOSOVËS,,5,Deçan
1,23,GRAÐANSKA İNİCİJATİVA GORE,,10,Deçan
1,24,LIDHJA DEMOKRATIKE E KOSOVËS,,3818,Deçan
1,25,SRPSKA LISTA,,11,Deçan
2,8,NOVA DEMOKRATSKA STRANKA,,17,Gjakovë
2,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,1315,Gjakovë
2,9,AAK-PSD KOALICIONI 100% KOSOVË,,14683,Gjakovë
2,10,SLOBODA,,12,Gjakovë
2,11,SAMOSTALNA LIBERALNA STRANKA,,9,Gjakovë
2,16,LËVIZJA VETËVENDOSJE!,,13354,Gjakovë
2,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,9,Gjakovë
2,18,PARTIA ROME E BASHKUAR E KOSOVËS,,76,Gjakovë
2,19,PARTIA EUROATLANTIKE E KOSOVËS,,88,Gjakovë
