id,Party_ID,Party,Acronym,Votes,Municipality
1,112,Kosova Demokratik Türk Partisi,KDTP,4,Deçan
1,113,Koalicija VAKAT,VAKAT,15,Deçan
1,111,Iniciativa e Re Demokratike e Kosovës,IRDK,8,Deçan
1,116,Lëvizja për Bashkëveprim,LpB,4,Deçan
1,117,Partia Rome e Bashkuar e Kosovës,PREBK,3,Deçan
1,114,Yenilikçi Türk Hareket Partisi,YTHP,2,Deçan
1,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,9,Deçan
1,119,Srpska Lista,SL,1,Deçan
1,120,Partia Balliste,PB,1,Deçan
1,121,Nisma Socialdemokrate,NISMA,111,Deçan
1,122,Koalicija Zajeno,KZ,3,Deçan
1,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,13,Deçan
1,124,Romani Iniciyativa,RI,2,Deçan
1,125,Socialdemokratska Unija,SDU,11,Deçan
1,126,Kosovaki Nevi Romani Partia,KNRP,6,Deçan
1,127,Lëvizja VETËVENDOSJE!,LV,4798,Deçan
1,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,2,Deçan
1,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,3,Deçan
1,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,118,Srpski Demokratski Savez,SDS,0,Deçan
1,132,Lidhja Demokratike e Kosovës,LDK,2354,Deçan
1,133,Naša Inicijativa,NAŠA,10,Deçan
1,134,Partia Demokratike e Kosovës,PDK,765,Deçan
1,135,Aleanca për Ardhmërinë e Kosovës,AAK,7956,Deçan
1,136,Partia Liberale Egjiptiane,PLE,66,Deçan
1,137,Jedinstvena Goranska Partija,JGP,3,Deçan
1,138,FJALA,FJALA,14,Deçan
1,131,Nova Demokratska Stranka,NDS,14,Deçan
10,125,Socialdemokratska Unija,SDU,2,Kamenicë
10,127,Lëvizja VETËVENDOSJE!,LV,9828,Kamenicë
10,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,14,Kamenicë
10,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,2,Kamenicë
10,126,Kosovaki Nevi Romani Partia,KNRP,8,Kamenicë
10,118,Srpski Demokratski Savez,SDS,9,Kamenicë
10,119,Srpska Lista,SL,718,Kamenicë
10,120,Partia Balliste,PB,6,Kamenicë
10,121,Nisma Socialdemokrate,NISMA,254,Kamenicë
10,122,Koalicija Zajeno,KZ,2,Kamenicë
10,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,10,Kamenicë
10,124,Romani Iniciyativa,RI,283,Kamenicë
10,111,Iniciativa e Re Demokratike e Kosovës,IRDK,8,Kamenicë
10,112,Kosova Demokratik Türk Partisi,KDTP,18,Kamenicë
10,113,Koalicija VAKAT,VAKAT,16,Kamenicë
10,114,Yenilikçi Türk Hareket Partisi,YTHP,3,Kamenicë
10,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,99,Kamenicë
10,116,Lëvizja për Bashkëveprim,LpB,5,Kamenicë
10,117,Partia Rome e Bashkuar e Kosovës,PREBK,6,Kamenicë
10,130,Partia e Ashkalinjëve për Integrim,PAI,1,Kamenicë
10,131,Nova Demokratska Stranka,NDS,3,Kamenicë
10,132,Lidhja Demokratike e Kosovës,LDK,2210,Kamenicë
10,133,Naša Inicijativa,NAŠA,6,Kamenicë
10,134,Partia Demokratike e Kosovës,PDK,2272,Kamenicë
10,135,Aleanca për Ardhmërinë e Kosovës,AAK,1125,Kamenicë
10,136,Partia Liberale Egjiptiane,PLE,4,Kamenicë
10,137,Jedinstvena Goranska Partija,JGP,2,Kamenicë
10,138,FJALA,FJALA,10,Kamenicë
11,111,Iniciativa e Re Demokratike e Kosovës,IRDK,58,Mitrovicë
11,112,Kosova Demokratik Türk Partisi,KDTP,170,Mitrovicë
11,113,Koalicija VAKAT,VAKAT,46,Mitrovicë
11,114,Yenilikçi Türk Hareket Partisi,YTHP,28,Mitrovicë
11,130,Partia e Ashkalinjëve për Integrim,PAI,18,Mitrovicë
11,131,Nova Demokratska Stranka,NDS,35,Mitrovicë
11,132,Lidhja Demokratike e Kosovës,LDK,2152,Mitrovicë
11,133,Naša Inicijativa,NAŠA,13,Mitrovicë
11,134,Partia Demokratike e Kosovës,PDK,8500,Mitrovicë
11,135,Aleanca për Ardhmërinë e Kosovës,AAK,533,Mitrovicë
11,136,Partia Liberale Egjiptiane,PLE,4,Mitrovicë
11,137,Jedinstvena Goranska Partija,JGP,10,Mitrovicë
11,138,FJALA,FJALA,86,Mitrovicë
11,124,Romani Iniciyativa,RI,76,Mitrovicë
11,125,Socialdemokratska Unija,SDU,15,Mitrovicë
11,126,Kosovaki Nevi Romani Partia,KNRP,31,Mitrovicë
11,127,Lëvizja VETËVENDOSJE!,LV,22580,Mitrovicë
11,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,23,Mitrovicë
11,116,Lëvizja për Bashkëveprim,LpB,138,Mitrovicë
11,117,Partia Rome e Bashkuar e Kosovës,PREBK,72,Mitrovicë
11,118,Srpski Demokratski Savez,SDS,6,Mitrovicë
11,119,Srpska Lista,SL,9,Mitrovicë
11,120,Partia Balliste,PB,1,Mitrovicë
11,121,Nisma Socialdemokrate,NISMA,340,Mitrovicë
11,122,Koalicija Zajeno,KZ,13,Mitrovicë
11,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,56,Mitrovicë
11,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,59,Mitrovicë
11,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,63,Mitrovicë
12,113,Koalicija VAKAT,VAKAT,158,Leposaviq
12,114,Yenilikçi Türk Hareket Partisi,YTHP,1,Leposaviq
12,111,Iniciativa e Re Demokratike e Kosovës,IRDK,3,Leposaviq
12,112,Kosova Demokratik Türk Partisi,KDTP,2,Leposaviq
12,116,Lëvizja për Bashkëveprim,LpB,3,Leposaviq
12,117,Partia Rome e Bashkuar e Kosovës,PREBK,3,Leposaviq
12,118,Srpski Demokratski Savez,SDS,52,Leposaviq
12,119,Srpska Lista,SL,8129,Leposaviq
12,120,Partia Balliste,PB,2,Leposaviq
12,121,Nisma Socialdemokrate,NISMA,4,Leposaviq
12,122,Koalicija Zajeno,KZ,7,Leposaviq
12,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,1,Leposaviq
12,124,Romani Iniciyativa,RI,11,Leposaviq
12,125,Socialdemokratska Unija,SDU,25,Leposaviq
12,126,Kosovaki Nevi Romani Partia,KNRP,0,Leposaviq
12,127,Lëvizja VETËVENDOSJE!,LV,129,Leposaviq
12,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,19,Leposaviq
12,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,158,Leposaviq
12,130,Partia e Ashkalinjëve për Integrim,PAI,0,Leposaviq
12,131,Nova Demokratska Stranka,NDS,7,Leposaviq
12,132,Lidhja Demokratike e Kosovës,LDK,7,Leposaviq
12,133,Naša Inicijativa,NAŠA,2,Leposaviq
12,134,Partia Demokratike e Kosovës,PDK,65,Leposaviq
12,135,Aleanca për Ardhmërinë e Kosovës,AAK,7,Leposaviq
12,136,Partia Liberale Egjiptiane,PLE,0,Leposaviq
12,137,Jedinstvena Goranska Partija,JGP,237,Leposaviq
12,138,FJALA,FJALA,0,Leposaviq
12,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,4,Leposaviq
13,125,Socialdemokratska Unija,SDU,7,Lipjan
13,126,Kosovaki Nevi Romani Partia,KNRP,14,Lipjan
13,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,34,Lipjan
13,116,Lëvizja për Bashkëveprim,LpB,161,Lipjan
13,117,Partia Rome e Bashkuar e Kosovës,PREBK,26,Lipjan
13,118,Srpski Demokratski Savez,SDS,5,Lipjan
13,119,Srpska Lista,SL,268,Lipjan
13,120,Partia Balliste,PB,7,Lipjan
13,121,Nisma Socialdemokrate,NISMA,743,Lipjan
13,122,Koalicija Zajeno,KZ,8,Lipjan
13,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,35,Lipjan
13,124,Romani Iniciyativa,RI,281,Lipjan
