id,Polling Center,Party_ID,Party,Acronym,Votes,Municipality
1,0101X,111,Iniciativa e Re Demokratike e Kosovës,IRDK,1,Deçan
1,0101X,112,Kosova Demokratik Türk Partisi,KDTP,0,Deçan
1,0101X,113,Koalicija VAKAT,VAKAT,1,Deçan
1,0101X,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,0101X,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,1,Deçan
1,0101X,116,Lëvizja për Bashkëveprim,LpB,1,Deçan
1,0101X,117,Partia Rome e Bashkuar e Kosovës,PREBK,1,Deçan
1,0101X,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0101X,119,Srpska Lista,SL,0,Deçan
1,0101X,120,Partia Balliste,PB,0,Deçan
1,0101X,121,Nisma Socialdemokrate,NISMA,16,Deçan
1,0101X,122,Koalicija Zajeno,KZ,1,Deçan
1,0101C,111,Iniciativa e Re Demokratike e Kosovës,IRDK,0,Deçan
1,0101C,112,Kosova Demokratik Türk Partisi,KDTP,1,Deçan
1,0101C,113,Koalicija VAKAT,VAKAT,0,Deçan
1,0101C,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,0101C,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,1,Deçan
1,0101C,116,Lëvizja për Bashkëveprim,LpB,0,Deçan
1,0101C,117,Partia Rome e Bashkuar e Kosovës,PREBK,1,Deçan
1,0101C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0101C,119,Srpska Lista,SL,0,Deçan
1,0101C,120,Partia Balliste,PB,0,Deçan
1,0101C,121,Nisma Socialdemokrate,NISMA,9,Deçan
1,0101C,122,Koalicija Zajeno,KZ,0,Deçan
1,0101C,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,0,Deçan
1,0101C,124,Romani Iniciyativa,RI,0,Deçan
1,0101C,125,Socialdemokratska Unija,SDU,2,Deçan
1,0101C,126,Kosovaki Nevi Romani Partia,KNRP,1,Deçan
1,0101C,127,Lëvizja VETËVENDOSJE!,LV,342,Deçan
1,0101C,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
