"","date","daily_vaccinated","one_dose","two_doses","total_doses"
"1",2021-05-30,1120,NA,0,64776
"2",2021-05-31,2318,NA,0,67094
"3",2021-06-01,2595,NA,0,69686
"4",2021-06-02,2955,NA,0,72637
"5",2021-06-03,2915,NA,0,75553
"6",2021-06-04,2922,NA,0,78477
"7",2021-06-05,1647,NA,0,80126
"8",2021-06-06,667,NA,0,80803
"9",2021-06-07,2805,NA,0,83725
"10",2021-06-08,2753,NA,0,86489
"11",2021-06-09,3730,NA,0,90217
"12",2021-06-10,2674,NA,0,92890
"13",2021-06-11,3480,NA,0,96369
"14",2021-06-12,1907,NA,0,98277
"15",2021-06-13,1117,80114,9640,99394
"16",2021-06-14,3205,80560,11019,102598
"17",2021-06-15,7492,83799,13149,110097
"18",2021-06-16,8446,88352,15093,118538
"19",2021-06-17,7341,92240,16821,125882
"20",2021-06-18,7018,97949,17476,132901
"21",2021-06-19,965,98246,17811,133868
"22",2021-06-20,518,95355,19518,134391
"23",2021-06-21,6595,99606,20701,141008
"24",2021-06-22,3669,98873,22906,144685
"25",2021-06-23,4439,98805,25158,149121
"26",2021-06-24,3501,99055,26794,152643
"27",2021-06-25,4682,98710,29314,157338
"28",2021-06-26,1705,97941,30552,159045
"29",2021-06-27,1365,94460,32975,160410
"30",2021-06-28,6975,95984,37057,170098
"31",2021-06-29,7361,95883,41573,179029
"32",2021-06-30,8517,98976,45015,189006
"33",2021-07-01,9565,102547,47141,196829
"34",2021-07-02,11900,107900,48437,204774
"35",2021-07-03,1110,107470,49207,205884
"36",2021-07-04,569,107211,49616,206443
"37",2021-07-05,13397,113935,52975,219885
"38",2021-07-06,5251,120047,57994,236035
"39",2021-07-07,5271,121910,60759,243428
"40",2021-07-08,5438,124056,63301,250658
"41",2021-07-09,7741,125880,63529,252938
"42",2021-07-10,919,125306,64276,253858
"43",2021-07-11,6361,125799,67578,260955
"44",2021-07-12,6503,125689,72476,270641
"45",2021-07-13,11518,125584,78298,282180
"46",2021-07-14,11513,126433,83630,293693
"47",2021-07-15,11546,128069,88961,305991
